品牌,企业名称,产品型号,产品名称,动力形式,电机功率(kW),motor_count,motor_total_peak_kw,single_multi_motor,电池类型,battery_chemistry,battery_chemistry_cn,battery_ncm_explicit_flag,电池容量(kWh),电池质量(kg),纯电续航(km),整备质量(kg),cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,电芯/总成供应商,增程器,长(mm),宽(mm),高(mm),总电量口径近似电耗(kWh/100km),电池包能量密度(Wh/kg),单位电量续航(km/kWh),电池质量占整备质量比(%),tax_catalog_match_flag,battery_metrics_available_flag,missing_reason,metric_scope
零跑,零跑汽车有限公司,FZ7000BEVB05K,纯电动轿车,纯电动,180kW,1,180.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,合肥国轩高科动力能源有限公司,凌骁能源科技（湖州）有限公司,国轩高科,其他,cross_group,合肥国轩高科动力能源有限公司 / 凌骁能源科技（湖州）有限公司,,4430,1880,1510,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
零跑,零跑汽车有限公司,FZ7000BEVB05L,纯电动轿车,纯电动,185kW,1,185.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,宁德时代新能源科技股份有限公司,凌骁能源科技（湖州）有限公司,宁德时代系,其他,cross_group,宁德时代新能源科技股份有限公司 / 凌骁能源科技（湖州）有限公司,,4490,1880,1510,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
零跑,零跑汽车有限公司,FZ7000BEVB05J,纯电动轿车,纯电动,185kW,1,185.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,湖北亿纬动力有限公司,凌骁能源科技（湖州）有限公司,其他,其他,same_group,湖北亿纬动力有限公司 / 凌骁能源科技（湖州）有限公司,,4430,1880,1510,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
领克,浙江吉利汽车有限公司,MR7156D100,轿车,,,0,0.0,,,,,0,,,,,,,,,,,,4700,1843,1460,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,数据缺失
魏牌,长城汽车股份有限公司,CC6531BD24DHEV,混合动力多用途乘用车,插电式混合动力,,0,0.0,,镍钴锰三元锂蓄电池,NCM,三元锂,1,,,,,,菲格智能科技有限公司,,其他,,菲格智能科技有限公司,GW4N20B / 1998ml / 长城汽车股份有限公司,5280,1960,1900,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,数据缺失
魏牌,长城汽车股份有限公司,CC6542BD24CPHEV,插电式混合动力多用途乘用车,插电式混合动力,,0,0.0,,镍钴锰三元锂蓄电池,NCM,三元锂,1,,,,,蜂巢能源科技股份有限公司,蜂巢能源科技(大冶)有限公司,蜂巢能源,蜂巢能源,same_group,蜂巢能源科技股份有限公司 / 蜂巢能源科技(大冶)有限公司,GW4N20B / 1998ml / 长城汽车股份有限公司,5410,1960,1890,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,数据缺失
魏牌,长城汽车股份有限公司,CC6530DC21HABEV,纯电动多用途乘用车,纯电动,220/320kW,2,540.0,2电机,镍钴锰三元锂蓄电池,NCM,三元锂,1,,,,,蜂巢能源科技股份有限公司,蜂巢能源科技股份有限公司,蜂巢能源,蜂巢能源,same_company,蜂巢能源科技股份有限公司 / 蜂巢能源科技股份有限公司,,5299,2025,1825,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
问界,赛力斯汽车有限公司,SKE6522DBEVR2,纯电动多用途乘用车,纯电动,227kW,1,227.0,单电机,三元锂离子蓄电池,NCM,三元锂,0,,,,,四川时代新能源科技有限公司,宜宾三江时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,四川时代新能源科技有限公司 / 宜宾三江时代新能源科技有限公司,,5190,1999,1795,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
问界,赛力斯汽车有限公司,SKE6522DREEVR2#1,插电式增程混合动力多用途乘用车,插电式增程混合动力,227kW,1,227.0,单电机,三元锂离子蓄电池,NCM,三元锂,0,75.408,416.0,365.0,2735.0,江苏时代新能源科技有限公司,宜宾三江时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,江苏时代新能源科技有限公司 / 宜宾三江时代新能源科技有限公司,HG15T / 1496ml / 重庆小康动力有限公司,5190,1999,1795,20.7,181.3,4.84,15.2,1,1,,全数据
问界,赛力斯汽车有限公司,SKE6522DREEVR2#2,插电式增程混合动力多用途乘用车,插电式增程混合动力,227kW,1,227.0,单电机,三元锂离子蓄电池,NCM,三元锂,0,75.408,416.0,358.0,2820.0,江苏时代新能源科技有限公司,宜宾三江时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,江苏时代新能源科技有限公司 / 宜宾三江时代新能源科技有限公司,HG15T / 1496ml / 重庆小康动力有限公司,5190,1999,1795,21.1,181.3,4.75,14.8,1,1,,全数据
问界,赛力斯汽车有限公司,SKE6522DBEVR1,纯电动多用途乘用车,纯电动,227kW,1,227.0,单电机,三元锂离子蓄电池,NCM,三元锂,0,,,,,江苏时代新能源科技有限公司,四川时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,江苏时代新能源科技有限公司 / 四川时代新能源科技有限公司,,5190,1999,1795,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
问界,赛力斯汽车有限公司,SKE6522DREEVR1#1,插电式增程混合动力多用途乘用车,插电式增程混合动力,227kW,1,227.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,56.036,406.0,256.0,2725.0,中州时代新能源科技有限公司,宜宾三江时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,中州时代新能源科技有限公司 / 宜宾三江时代新能源科技有限公司,HG15T / 1496ml / 重庆小康动力有限公司,5190,1999,1795,21.9,138.0,4.57,14.9,1,1,,全数据
问界,赛力斯汽车有限公司,SKE6522DREEVR1#2,插电式增程混合动力多用途乘用车,插电式增程混合动力,227kW,1,227.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,56.036,406.0,256.0,2810.0,中州时代新能源科技有限公司,宜宾三江时代新能源科技有限公司,宁德时代系,宁德时代系,same_group,中州时代新能源科技有限公司 / 宜宾三江时代新能源科技有限公司,HG15T / 1496ml / 重庆小康动力有限公司,5190,1999,1795,21.9,138.0,4.57,14.4,1,1,,全数据
智界,奇瑞汽车股份有限公司,SQR6500BEVEHX7,纯电动多用途乘用车,纯电动,160/277kW,2,437.0,2电机,三元锂蓄电池,NCM,三元锂,0,,,,,江苏时代新能源科技有限公司,江苏时代新能源科技有限公司,宁德时代系,宁德时代系,same_company,江苏时代新能源科技有限公司 / 江苏时代新能源科技有限公司,,5020,2007,1585,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
智界,奇瑞汽车股份有限公司,SQR6500BEVEHX6,纯电动多用途乘用车,纯电动,277kW,1,277.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,,,,,,,,5020,2007,1600,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
智界,奇瑞汽车股份有限公司,SQR6500BEVEHY9,纯电动多用途乘用车,纯电动,227kW,1,227.0,单电机,三元锂蓄电池,NCM,三元锂,0,,,,,中创新航科技集团股份有限公司,中创新航科技集团股份有限公司,中创新航,中创新航,same_company,中创新航科技集团股份有限公司 / 中创新航科技集团股份有限公司,,4982,1981,1634,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
