vehicle_record_id,observation_id,batch_no,model_code,brand,manufacturer,product_name,common_name,detail_url,publish_date,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,vehicle_tax_match_flag,purchase_tax_match_flag,multi_enterprise_count,multi_brand_flag,tax_catalog_match_flag
401:AFN6490,401:AFN6490:confirmed,401,AFN6490,奥迪,奥迪一汽新能源汽车有限公司,纯电动多用途乘用车,Q6L,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,218,一、汽车生产企业,0,1,1,0,1
401:AFN7000,401:AFN7000:confirmed,401,AFN7000,奥迪,奥迪一汽新能源汽车有限公司,纯电动轿车,A6L,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,218,一、汽车生产企业,0,1,1,0,1
401:AHC6470,401:AHC6470:confirmed,401,AHC6470,埃安(AION),广汽埃安新能源汽车股份有限公司,纯电动多用途乘用车,i60,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,216,一、汽车生产企业,0,1,1,0,1
401:AKP5220X,401:AKP5220X:confirmed,401,AKP5220X,科摩多龙,四川艾可沛专用汽车有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(二十二)65,一、汽车生产企业,0,0,1,0,0
401:ANK5130X,401:ANK5130X:confirmed,401,ANK5130X,阿诺科图,广东粤野专用车辆有限公司,旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十九)113,一、汽车生产企业,0,0,1,0,0
401:AYZ5040X,401:AYZ5040X:confirmed,401,AYZ5040X,皓旅,江苏中机宇泽汽车股份有限公司,插电式增程混合动力旅居车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,插电式增程混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十)214,一、汽车生产企业,0,1,1,0,1
401:BAW1031,401:BAW1031:confirmed,401,BAW1031,二一二,北京汽车制造厂有限公司,多用途货车 / 多用途货车底盘,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,0,0,1,0,0
401:BAW2033,401:BAW2033:confirmed,401,BAW2033,二一二,北京汽车制造厂有限公司,越野乘用车,,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,越野乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,0,0,1,0,0
401:BAW6521,401:BAW6521:confirmed,401,BAW6521,锐胜,北京汽车制造厂有限公司,多用途乘用车 / 换电式纯电动多用途乘用车 / 纯电动多用途乘用车,锐胜王牌E-M7,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,多用途乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,0,1,1,0,1
401:BAW6530,401:BAW6530:confirmed,401,BAW6530,锐胜,北京汽车制造厂有限公司,换电式纯电动多用途乘用车,锐胜M8,https://www.miit-eidc.org.cn/art/2025/12/15/art_1691_11915.html,2025-12-15,eidc,confirmed,high,换电式纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,0,1,1,0,1
