vehicle_record_id,observation_id,batch_no,model_code,brand,common_name,energy_type,source,stage,record_quality,source_vehicle_type,vehicle_category,vehicle_subcategory,analysis_scope,catalog_no,source_section,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,curb_weight_num,battery_capacity_kwh,battery_capacity_num,battery_mass_kg,battery_mass_num,ev_range_km,ev_range_num,battery_type,battery_chemistry,battery_chemistry_cn,motor_power_kw,motor_count,motor_total_peak_kw,single_multi_motor,cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,range_extender,seat_count,approx_energy_consumption_kwh_100km,battery_energy_density_wh_kg,km_per_kwh,battery_mass_ratio_pct,variant_count,vehicle_tax_match_flag,purchase_tax_match_flag,metric_scope,source_detail,source_tax
401:AFN6490,401:AFN6490:confirmed,401,AFN6490,奥迪,Q6L,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,218,一、汽车生产企业,,,,,2393,2393.0,95.0,95.0,663,663.0,677,677.0,,,,,,,,,,,,,,,14.0,143.3,7.13,27.7,1,0,1,全数据,,纯电动汽车
401:AFN7000,401:AFN7000:confirmed,401,AFN7000,奥迪,A6L,纯电动,eidc,confirmed,high,纯电动轿车,passenger_vehicle,sedan,in_scope,218,一、汽车生产企业,,,,,2300,2300.0,106.7,106.7,617,617.0,815,815.0,,,,,,,,,,,,,,,13.1,172.9,7.64,26.8,1,0,1,全数据,,纯电动汽车
401:AHC6470,401:AHC6470:confirmed,401,AHC6470,埃安(AION),i60,纯电动,eidc,confirmed,high,纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,216,一、汽车生产企业,,,,,1900,1900.0,75.26,75.26,518,518.0,650,650.0,,,,,,,,,,,,,,,11.6,145.3,8.64,27.3,1,0,1,全数据,,纯电动汽车
401:AKP5220X,401:AKP5220X:confirmed,401,AKP5220X,科摩多龙,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(二十二)65,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:ANK5130X,401:ANK5130X:confirmed,401,ANK5130X,阿诺科图,,,eidc,confirmed,high,旅居车,passenger_vehicle,suv_mpv,in_scope,(十九)113,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:AYZ5040X,401:AYZ5040X:confirmed,401,AYZ5040X,皓旅,,插电式混合动力,eidc,confirmed,high,插电式增程混合动力旅居车,passenger_vehicle,suv_mpv,in_scope,(十)214,一、汽车生产企业,,,,,3592,3592.0,43.47,43.47,347,347.0,150,150.0,,,,,,,,,,,,,,,29.0,125.3,3.45,9.7,1,0,1,全数据,,插电式混合动力汽车
401:BAW1031,401:BAW1031:confirmed,401,BAW1031,二一二,,,eidc,confirmed,high,多用途货车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:BAW2033,401:BAW2033:confirmed,401,BAW2033,二一二,,,eidc,confirmed,high,越野乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,数据缺失,,
401:BAW6521,401:BAW6521:confirmed,401,BAW6521,锐胜,锐胜王牌E-M7,纯电动,eidc,confirmed,high,多用途乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,,,,,2093,2093.0,54.03,54.03,415,415.0,350,350.0,,,,,,,,,,,,,,,15.4,130.2,6.48,19.8,1,0,1,全数据,,纯电动汽车
401:BAW6530,401:BAW6530:confirmed,401,BAW6530,锐胜,锐胜M8,纯电动,eidc,confirmed,high,换电式纯电动多用途乘用车,passenger_vehicle,suv_mpv,in_scope,9,一、汽车生产企业,,,,,2312,2312.0,71.36,71.36,413±12,413.0,420,420.0,,,,,,,,,,,,,,,17.0,172.8,5.89,17.9,1,0,1,全数据,,纯电动汽车
