sku,msrp_w,三电,底盘,座舱,智驾,总分,分每万
L6 Ultra 103AWD,26.99,0.6816,0.8958,0.697,0.5185,0.6982,0.0259
SU7 Max 30.39,30.39,0.7388,0.3723,0.4506,0.6331,0.5487,0.0181
L6 ProMax 93RWD,22.79,0.4098,0.8666,0.697,0.2188,0.548,0.024
L6 Max 76RWD,20.99,0.218,0.8666,0.697,0.2188,0.5001,0.0238
P7 750四驱 24.38,24.38,0.583,0.348,0.3059,0.5556,0.4481,0.0184
007 103四驱 24.39,24.39,0.8301,0.2167,0.2044,0.5185,0.4424,0.0181
P7 820 22.38,22.38,0.5229,0.348,0.3059,0.5556,0.4331,0.0194
阿维塔06 24.99,24.99,0.2095,0.3167,0.1695,0.9664,0.4155,0.0166
007 103后驱 22.39,22.39,0.7678,0.1334,0.2044,0.5185,0.406,0.0181
P7 702 20.38,20.38,0.388,0.348,0.3059,0.5556,0.3993,0.0196
007 75后驱 20.39,20.39,0.5662,0.1334,0.2044,0.5185,0.3556,0.0174
SU7 Pro 24.99,24.99,0.4118,0.3515,0.01,0.6331,0.3516,0.0141
SU7 21.99,21.99,0.2945,0.1848,0.2839,0.6331,0.3491,0.0159
