标签类型,标签,2023_pct,2024_pct,2025_pct,2026_pct,大盘_pct,2023_tgi,2024_tgi,2025_tgi,2026_tgi,大盘_tgi,Δ2023→2024_pct,Δ2023→2024_tgi,Δ2024→2025_pct,Δ2024→2025_tgi,Δ2025→2026_pct,Δ2025→2026_tgi,Δ23→26_pct,Δ23→26_tgi,2023_大盘差_pct,2023_大盘差_tgi,2024_大盘差_pct,2024_大盘差_tgi,2025_大盘差_pct,2025_大盘差_tgi,2026_大盘差_pct,2026_大盘差_tgi
八大消费群体,genz,5.71,8.23,9.09,9.05,12.9,41.69839095741315,61.85211815586227,68.41195953305802,68.22046656256387,102.51652211284345,2.5200000000000005,20.15372719844912,0.8599999999999994,6.559841377195752,-0.03999999999999915,-0.19149297049415281,3.3400000000000007,26.522075605150718,-7.19,-60.818131155430294,-4.67,-40.664403956981175,-3.8100000000000005,-34.10456257978542,-3.8499999999999996,-34.296055550279576
八大消费群体,小镇中老年,4.51,5.07,4.89,5.39,15.06,30.16359382932749,34.8714890995025,33.66579869930924,37.165089825713835,109.62745606996836,0.5600000000000005,4.707895270175008,-0.1800000000000006,-1.2056904001932551,0.5,3.499291126404593,0.8799999999999999,7.001495996386346,-10.55,-79.46386224064088,-9.99,-74.75596697046586,-10.170000000000002,-75.96165737065911,-9.670000000000002,-72.46236624425453
八大消费群体,小镇青年,7.86,11.4,12.83,13.98,18.27,39.558157839253425,59.025562807803155,66.48137140996724,72.53083434243764,100.0135960959539,3.54,19.46740496854973,1.4299999999999997,7.455808602164083,1.1500000000000004,6.049462932470405,6.12,32.97267650318422,-10.41,-60.455438256700475,-6.869999999999999,-40.988033288150746,-5.4399999999999995,-33.53222468598666,-4.289999999999999,-27.482761753516257
八大消费群体,新锐白领,37.82,31.8,33.05,29.92,12.09,442.24903223266585,382.82107682905024,398.28717734090714,361.04666949639216,153.78960346455796,-6.02,-59.42795540361561,1.2499999999999964,15.466100511856894,-3.1299999999999955,-37.24050784451498,-7.899999999999999,-81.2023627362737,25.73,288.4594287681079,19.71,229.03147336449229,20.959999999999997,244.49757387634918,17.830000000000002,207.2570660318342
八大消费群体,精致妈妈,8.31,9.65,7.91,8.3,4.27,253.65751218740272,302.9728180205155,248.79137715329009,261.3557920178858,141.7812993498686,1.3399999999999999,49.315305833112774,-1.7400000000000002,-54.181440867225405,0.39000000000000057,12.564414864595705,-0.009999999999999787,7.698279830483074,4.040000000000001,111.87621283753413,5.380000000000001,161.1915186706469,3.6400000000000006,107.0100778034215,4.030000000000001,119.5744926680172
八大消费群体,资深中产,14.12,10.08,9.43,10.52,5.78,328.49891402546353,241.3724394105578,225.8946855953583,252.3922494575475,146.27137250779677,-4.039999999999999,-87.12647461490573,-0.6500000000000004,-15.477753815199492,1.0899999999999999,26.497563862189196,-3.5999999999999996,-76.10666456791603,8.34,182.22754151766677,4.3,95.10106690276103,3.6499999999999995,79.62331308756154,4.739999999999999,106.12087694975074
八大消费群体,都市蓝领,10.81,13.45,13.96,13.4,14.03,78.59482772339291,100.63416340395456,104.5528575129738,100.48219112425672,110.94321013965944,2.639999999999999,22.03933568056165,0.5100000000000016,3.918694109019242,-0.5600000000000005,-4.070666388717086,2.59,21.887363400863805,-3.219999999999999,-32.34838241626653,-0.5800000000000001,-10.309046735704882,-0.06999999999999851,-6.39035262668564,-0.629999999999999,-10.461019015402726
八大消费群体,都市银发,11.0,10.47,9.01,9.63,17.73,61.149333854123626,59.89899164591063,51.57914720337954,55.23282763390669,107.25111102487224,-0.5299999999999994,-1.2503422082129987,-1.4600000000000009,-8.319844442531085,0.620000000000001,3.653680430527146,-1.3699999999999992,-5.916506220216938,-6.73,-46.10177717074862,-7.26,-47.35211937896162,-8.72,-55.6719638214927,-8.1,-52.01828339096556
地域分布,上海,16.45,9.99,8.99,6.97,2.09,911.5943920604668,554.5953813331664,498.0762321388623,386.11319085072415,116.25974558884384,-6.459999999999999,-356.9990107273004,-1.0,-56.519149194304134,-2.0200000000000005,-111.96304128813813,-9.48,-525.4812012097427,14.36,795.3346464716229,7.9,438.3356357443226,6.9,381.81648655001845,4.88,269.8534452618803
地域分布,云南,2.3,2.42,2.06,1.87,3.33,88.98798387506592,93.72576796061436,79.87797085010781,72.59967119729242,129.4017106149165,0.1200000000000001,4.737784085548441,-0.3599999999999999,-13.847797110506548,-0.18999999999999995,-7.278299652815392,-0.4299999999999997,-16.3883126777735,-1.0300000000000002,-40.41372673985059,-0.9100000000000001,-35.67594265430215,-1.27,-49.523739764808695,-1.46,-56.80203941762409
地域分布,内蒙古,0.69,1.32,1.32,1.48,1.47,53.24712418997394,103.00209023434596,102.30227806317215,115.27000902563732,114.2260400129396,0.6300000000000001,49.75496604437202,0.0,-0.6998121711738037,0.15999999999999992,12.967730962465168,0.79,62.02288483566338,-0.78,-60.97891582296567,-0.1499999999999999,-11.22394977859365,-0.1499999999999999,-11.923761949767453,0.010000000000000009,1.0439690126977155
地域分布,北京,2.68,2.45,2.83,3.23,1.94,168.3517741697732,154.0845043868885,177.42719977601467,202.43376856633293,122.01985861826914,-0.22999999999999998,-14.267269782884682,0.3799999999999999,23.342695389126163,0.3999999999999999,25.006568790318255,0.5499999999999998,34.081994396559736,0.7400000000000002,46.33191555150405,0.5100000000000002,32.06464576861937,0.8900000000000001,55.407341157745535,1.29,80.41390994806379
地域分布,台湾,0.0,0.0,0.0,0.0,0.0008,,,,,124.41636171686274,0.0,,0.0,,0.0,,0.0,,-0.0008,,-0.0008,,-0.0008,,-0.0008,
地域分布,吉林,0.4,0.26,0.43,1.05,1.19,34.13861226005114,22.449182706497577,37.33940018348475,90.0108858180821,102.80363653851153,-0.14,-11.689429553553563,0.16999999999999998,14.890217476987171,0.6200000000000001,52.67148563459735,0.65,55.87227355803096,-0.7899999999999999,-68.66502427846038,-0.9299999999999999,-80.35445383201395,-0.76,-65.46423635502677,-0.1399999999999999,-12.792750720429424
地域分布,四川,5.73,5.22,5.51,5.47,5.23,128.73888979572828,117.54059970335553,123.91067475041362,123.0101870793774,117.95904157517865,-0.5100000000000007,-11.198290092372758,0.29000000000000004,6.370075047058094,-0.040000000000000036,-0.9004876710362169,-0.2600000000000007,-5.728702716350881,0.5,10.779848220549638,-0.010000000000000675,-0.41844187182312,0.27999999999999936,5.951633175234974,0.23999999999999932,5.051145504198757
地域分布,天津,0.76,1.1,0.85,0.92,1.1,82.76736591984292,120.20155062746036,93.22178823328122,100.80004969053697,120.07463206930063,0.3400000000000001,37.43418470761745,-0.2500000000000001,-26.979762394179147,0.07000000000000006,7.578261457255749,0.16000000000000003,18.03268377069405,-0.3400000000000001,-37.30726614945772,0.0,0.12691855815972986,-0.2500000000000001,-26.852843836019417,-0.18000000000000005,-19.274582378763668
