week_start,weekly_atp,weekly_vehicles,weekly_amount
2025-09-09,222120.1756097561,820,182138544.0
2025-09-16,220206.565625,1600,352330505.0
2025-09-23,221637.01062215478,2636,584235160.0
2025-09-30,223108.42556508185,1283,286248110.0
2025-10-07,223341.14060963618,2034,454275880.0
2025-10-14,221773.14121037463,2082,461731680.0
2025-10-21,223570.61114030477,1903,425454873.0
2025-10-28,226111.82831661092,1794,405644620.0
2025-11-04,229250.10939597315,1490,341582663.0
2025-11-11,228658.1975235849,1696,387804303.0
2025-11-18,225176.95915915916,1665,374919637.0
2025-11-25,223910.48287671234,1752,392291166.0
2025-12-02,222931.81965881397,1231,274429070.0
2025-12-09,220262.21220930232,1376,303080804.0
2025-12-16,219478.85044462408,1237,271495338.0
2025-12-23,215845.5804038893,1337,288585541.0
2025-12-30,213890.7524590164,610,130473359.0
2026-01-06,206042.5912162162,296,60988607.0
2026-01-13,206913.7385786802,394,81524013.0
2026-01-20,207495.47045454546,440,91298007.0
2026-01-27,207433.60674157302,534,110769546.0
2026-02-03,207351.88333333333,480,99528904.0
2026-02-10,207106.7183770883,419,86777715.0
2026-02-17,203690.9090909091,11,2240600.0
2026-02-24,202747.93484419264,353,71570021.0
2026-03-03,204643.18956043955,364,74490121.0
2026-03-10,203995.30812854442,529,107913518.0
2026-03-17,203661.77288135592,590,120160446.0
2026-03-24,205321.42086330935,834,171238065.0
2026-03-31,204137.91596638656,476,97169648.0
2026-04-07,200922.81161695448,637,127987831.0
2026-04-14,200005.21044546852,651,130203392.0
2026-04-21,200677.5401974612,709,142280376.0
2026-04-28,200373.35741444866,526,105396386.0
2026-05-05,198475.7085492228,772,153223247.0
2026-05-12,199626.17571884984,626,124965986.0
2026-05-19,200076.08717105264,608,121646261.0
2026-05-26,199047.78560490045,653,129978204.0
2026-06-02,198107.6611111111,540,106978137.0
2026-06-09,197381.2891566265,581,114678529.0
2026-06-16,200557.33087149187,677,135777313.0
2026-06-23,204095.6,925,188788430.0
2026-06-30,200930.62162162163,629,126385361.0
2026-07-07,196770.2147239264,489,96220635.0
2026-07-14,199255.81962025317,632,125929678.0
2026-07-21,199965.4576,625,124978411.0
2026-07-28,197194.0317164179,536,105696001.0
2026-08-04,194377.5068119891,367,71336545.0
2026-08-11,193041.95679012345,486,93818391.0
2026-08-18,189454.17966101694,590,111777966.0
2026-08-25,190108.80952380953,126,23953710.0
