license_city,lock_count,share
成都市,7,0.0805
重庆市,6,0.069
北京市,4,0.046
宁波市,3,0.0345
苏州市,3,0.0345
上海市,3,0.0345
贵阳市,3,0.0345
太原市,3,0.0345
杭州市,2,0.023
福州市,2,0.023
绍兴市,2,0.023
广州市,2,0.023
宿迁市,2,0.023
宜昌市,2,0.023
济宁市,2,0.023
南京市,2,0.023
周口市,2,0.023
厦门市,2,0.023
兰州市,2,0.023
滨州市,1,0.0115
海口市,1,0.0115
深圳市,1,0.0115
温州市,1,0.0115
长春市,1,0.0115
衢州市,1,0.0115
石家庄市,1,0.0115
济南市,1,0.0115
银川市,1,0.0115
郑州市,1,0.0115
遵义市,1,0.0115
舟山市,1,0.0115
三亚市,1,0.0115
曲靖市,1,0.0115
泰安市,1,0.0115
大连市,1,0.0115
临汾市,1,0.0115
南充市,1,0.0115
合肥市,1,0.0115
吉林市,1,0.0115
咸阳市,1,0.0115
商丘市,1,0.0115
嘉兴市,1,0.0115
宜宾市,1,0.0115
泉州市,1,0.0115
徐州市,1,0.0115
扬州市,1,0.0115
抚州市,1,0.0115
无锡市,1,0.0115
柳州市,1,0.0115
株洲市,1,0.0115
沈阳市,1,0.0115
阳泉市,1,0.0115
