order_number,product_name,lock_time,config_version,attribute,value,value_code,code,included
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,否,N,N,False
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO000011201557714,智己LS8 66 Ultra 科技旗舰大五座,2026-05-31 13:17:44,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,轮毂,21英寸星夜黑超多辐豪华轮辋,SD-TI21,SD-TI21,True
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,内饰,大象灰米,IN2-AMA,IN2-AMA,True
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000012071726215,智己LS8 52 Max+ 科技旗舰大五座,2026-05-17 11:10:10,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,外饰,奥林匹斯黑,EX1-PYX,EX1-PYX,True
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,已选,奢华智选包,Pro,Pro,True
SO000440588798570,智己LS8 52 Max+ 科技旗舰大五座,2026-06-20 15:31:00,科技旗舰大五座 52 Max+,IM 智控地暖系统,否,N,N,False
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,21.5英寸二排观影屏,是,Y,Y,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,方向盘,超广角视野全幅柔感瞬热方向盘,Oval,Oval,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,轮毂,21英寸星耀超多辐豪华轮辋,SD-TI21-J,SD-TI21-J,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,内饰,大象灰黑,IN2-ASH,IN2-ASH,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,全线控转向系统,否,N,N,False
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,外饰,帕米尔灰,EX1-AEG,EX1-AEG,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,已选,奢华智选包,Pro,Pro,True
SO000479461091302,智己LS8 66 Ultra 科技旗舰大五座,2026-06-30 11:28:54,科技旗舰大五座 66 Ultra,IM 智控地暖系统,否,N,N,False
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,21.5英寸二排观影屏,否,N,N,False
SO000485578446778,智己LS8 52 Max+ 科技旗舰大五座,2026-04-17 12:17:57,科技旗舰大五座 52 Max+,方向盘,全幅柔感瞬热方向盘,Full,Full,True
