price_bucket,body_type,vehicle_level_group,fuel_type_group,sales,weighted_tp,active_months,share_pct,market_rank,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,concentration_label
10-15万,轿车,A,其他能源,1946482.0,117743.24171203496,12,8.710793737639923,1,大众速腾（15.3%）、大众朗逸（12.6%）、本田思域（9.2%）,大众速腾,723253.0,37.15693235282936,大众速腾（15.3%）、大众朗逸（12.6%）、本田思域（9.2%）,37.15693235282936,3,100.0,中度集中
10-15万,SUV,A,其他能源,1900888.0,120128.35524465526,12,8.50675386998435,2,丰田锋兰达（10.6%）、长安CS75（9.8%）、吉利博越（9.2%）,丰田锋兰达,562593.0,29.596325506815763,丰田锋兰达（10.6%）、长安CS75（9.8%）、吉利博越（9.2%）,29.596325506815763,3,100.0,低集中
5-10万,轿车,A,其他能源,1548356.0,78880.6132342977,12,6.929121229190509,3,日产轩逸（16.1%）、长安逸动（10.4%）、吉利新帝豪（9.2%）,日产轩逸,552099.0,35.65710986362309,日产轩逸（16.1%）、长安逸动（10.4%）、吉利新帝豪（9.2%）,35.65710986362309,3,100.0,中度集中
15-20万,轿车,B,其他能源,1092592.0,174193.0120640939,12,4.8895101785659865,4,大众帕萨特（19.2%）、丰田凯美瑞（18.9%）、大众迈腾（17.1%）,大众帕萨特,603013.0,55.191050273112005,大众帕萨特（19.2%）、丰田凯美瑞（18.9%）、大众迈腾（17.1%）,55.191050273112005,3,100.0,高集中
10-15万,轿车,A,新能源,946563.0,124450.2589260232,12,4.236008888179628,5,比亚迪秦（37.7%）、埃安AION S（21.1%）、大众ID.3（9.3%）,比亚迪秦,644398.0,68.07766625148035,比亚迪秦（37.7%）、埃安AION S（21.1%）、大众ID.3（9.3%）,68.07766625148035,3,100.0,高集中
15-20万,SUV,A,其他能源,896958.0,167297.9138526596,12,4.014019204557776,6,本田CR-V（23.1%）、丰田RAV4荣放（19.8%）、本田皓影（14.6%）,本田CR-V,515149.0,57.43290098310065,本田CR-V（23.1%）、丰田RAV4荣放（19.8%）、本田皓影（14.6%）,57.43290098310065,3,100.0,高集中
10-15万,SUV,A,新能源,739260.0,136806.6056365172,12,3.30829741990303,7,比亚迪元（33.4%）、埃安AION Y（26.8%）、比亚迪宋（19.5%）,比亚迪元,588821.0,79.65005546086627,比亚迪元（33.4%）、埃安AION Y（26.8%）、欧尚汽车欧尚Z6（5.1%）,65.25958390823256,3,100.0,高集中
5-10万,SUV,A,其他能源,716715.0,85593.41969890603,12,3.207405223204015,8,哈弗哈弗H6（17.2%）、长安CS55（9.8%）、捷达捷达VS5（9.7%）,哈弗哈弗H6,262700.0,36.65334198391271,哈弗哈弗H6（17.2%）、长安CS55（9.8%）、捷达捷达VS5（9.7%）,36.65334198391271,3,100.0,中度集中
15-20万,SUV,A,新能源,598153.0,164619.84256082724,12,2.676822804706405,9,比亚迪宋（69.2%）、吉利银河L7（8.1%）、大众ID.4 CROZZ（5.9%）,比亚迪宋,497797.0,83.22235280939826,比亚迪宋（69.2%）、大众ID.4 CROZZ（5.9%）、大众ID.4 X（4.0%）,79.17572928665409,3,100.0,高集中
15-20万,SUV,B,其他能源,574942.0,178451.90180517433,12,2.5729501598813513,10,大众探岳（24.6%）、大众途观（20.8%）、红旗HS5（16.4%）,大众探岳,355080.0,61.75927310928755,大众探岳（24.6%）、红旗HS5（16.4%）、别克昂科威（14.8%）,55.80493336719182,3,100.0,高集中
