price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,recent_3m_sales,prior_3m_sales,growth_pct,total_sales,nev_sales,nev_penetration_pct,nev_model_sales,bev_model_sales,bev_route_pct,market_openness,nev_substitution_space,open_convertible_share,opportunity_profile
10-15万,MPV,其他能源,89257.0,广汽传祺M6（58.0%）、迈克萨斯G50（11.5%）、五菱凯捷（6.3%）,广汽传祺M6,67606.0,75.7430789741981,广汽传祺M6（58.0%）、迈克萨斯G50（11.5%）、五菱凯捷（6.3%）,75.7430789741981,3,100.0,17563.0,20852.0,-15.77306733167082,96296.0,7039.0,7.309753260779265,7039.0,6414.0,91.12089785480893,0.24256921025801903,0.9269024673922074,0.224837999501537,头部锁死
10-15万,MPV,新能源,7039.0,极狐考拉（47.2%）、东风风行菱智（39.2%）、比亚迪宋MAX（8.9%）,极狐考拉,6703.0,95.22659468674529,东风风行菱智（39.2%）、东风风光风光（4.7%）,43.86986787896008,2,100.0,2042.0,2859.0,-28.576425323539702,96296.0,7039.0,7.309753260779265,7039.0,6414.0,91.12089785480893,0.04773405313254708,0.9269024673922074,0.044244811627188615,头部锁死
10-15万,SUV,其他能源,2544885.0,丰田锋兰达（8.0%）、长安CS75（7.3%）、吉利博越（6.9%）,丰田锋兰达,562593.0,22.106814256832823,丰田锋兰达（8.0%）、长安CS75（7.3%）、吉利博越（6.9%）,22.106814256832823,3,100.0,577752.0,774349.0,-25.38868133102774,3336485.0,791600.0,23.725567475951486,791600.0,529944.0,66.94593228903487,0.7789318574316717,0.7627443252404851,0.5941258540050381,开放替代蓝海
10-15万,SUV,新能源,791600.0,比亚迪元（32.5%）、埃安AION Y（25.0%）、比亚迪宋（18.2%）,比亚迪元,599261.0,75.70250126326428,比亚迪元（32.5%）、埃安AION Y（25.0%）、欧尚汽车欧尚Z6（4.7%）,62.26351692774128,3,100.0,236499.0,253582.0,-6.736676893470362,3336485.0,791600.0,23.725567475951486,791600.0,529944.0,66.94593228903487,0.24297498736735723,0.7627443252404851,0.18532779278983028,头部锁死
10-15万,轿车,其他能源,2186322.0,大众速腾（13.7%）、大众朗逸（11.2%）、本田思域（8.2%）,大众速腾,723253.0,33.08080877382197,大众速腾（13.7%）、大众朗逸（11.2%）、本田思域（8.2%）,33.08080877382197,3,100.0,478036.0,633818.0,-24.57834898977309,3585744.0,1399422.0,39.02738176512322,1399422.0,974668.0,69.64789748910621,0.6691919122617802,0.6097261823487677,0.4080238299220468,开放替代蓝海
10-15万,轿车,新能源,1399422.0,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,比亚迪秦,819152.0,58.53502374551779,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,58.53502374551779,3,100.0,215428.0,400416.0,-46.19895308878766,3585744.0,1399422.0,39.02738176512322,1399422.0,974668.0,69.64789748910621,0.4146497625448221,0.6097261823487677,0.25282281672827744,替代空间主导
15-20万,MPV,其他能源,53869.0,广汽传祺M8（52.5%）、现代库斯途（24.4%）、迈克萨斯G20（10.3%）,广汽传祺M8,47008.0,87.26354675230652,广汽传祺M8（52.5%）、现代库斯途（24.4%）、迈克萨斯G20（10.3%）,87.26354675230652,3,100.0,10431.0,11495.0,-9.256198347107436,60901.0,7032.0,11.54660843007504,7032.0,2159.0,30.702502844141073,0.1273645324769348,0.8845339156992496,0.11265824863302738,头部锁死
15-20万,MPV,新能源,7032.0,比亚迪宋MAX（56.2%）、极狐考拉（15.8%）、迈克萨斯G50（13.4%）,比亚迪宋MAX,6008.0,85.43799772468714,瑞风瑞风M3（11.1%）,11.092150170648464,1,100.0,322.0,2680.0,-87.98507462686567,60901.0,7032.0,11.54660843007504,7032.0,2159.0,30.702502844141073,0.1456200227531287,0.8845339156992496,0.12880584893003874,头部锁死
15-20万,SUV,其他能源,1500890.0,本田CR-V（13.8%）、丰田RAV4荣放（11.8%）、大众探岳（9.4%）,本田CR-V,525624.0,35.020820979552134,本田CR-V（13.8%）、丰田RAV4荣放（11.8%）、大众探岳（9.4%）,35.020820979552134,3,100.0,301161.0,460990.0,-34.67081715438513,2374391.0,873501.0,36.78842279978319,873501.0,306271.0,35.062467014920415,0.6497917902044786,0.6321157720021681,0.4107436391057748,开放替代蓝海
15-20万,SUV,新能源,873501.0,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,比亚迪宋,563719.0,64.53558725176045,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,64.53558725176045,3,100.0,140045.0,249992.0,-43.98020736663574,2374391.0,873501.0,36.78842279978319,873501.0,306271.0,35.062467014920415,0.3546441274823955,0.6321157720021681,0.22417614642956973,替代空间主导
15-20万,跑车,新能源,43.0,哪吒哪吒GT（100.0%）,哪吒哪吒GT,43.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,43.0,,,43.0,43.0,100.0,43.0,43.0,100.0,0.0,0.0,0.0,头部锁死
15-20万,轿车,其他能源,1224777.0,大众帕萨特（17.1%）、丰田凯美瑞（16.9%）、大众迈腾（15.3%）,大众帕萨特,603013.0,49.23451371147564,大众帕萨特（17.1%）、丰田凯美瑞（16.9%）、大众迈腾（15.3%）,49.23451371147564,3,100.0,228358.0,349933.0,-34.742364967007966,1524703.0,299926.0,19.671109717761425,299926.0,193374.0,64.47390356287885,0.5076548628852435,0.8032889028223857,0.40779351781953593,开放替代蓝海
15-20万,轿车,新能源,299926.0,红旗E-QM5（26.3%）、比亚迪汉（12.7%）、比亚迪海豹（12.4%）,红旗E-QM5,154018.0,51.35200016003948,红旗E-QM5（26.3%）、深蓝SL03（7.6%）、零跑零跑C01（6.9%）,40.867080546534815,3,100.0,79630.0,113103.0,-29.595147785646713,1524703.0,299926.0,19.671109717761425,299926.0,193374.0,64.47390356287885,0.4864799983996052,0.8032889028223857,0.3907839841594548,替代空间主导
20-25万,MPV,其他能源,23351.0,本田奥德赛（75.2%）、荣威iMAX8（12.7%）、福特途睿欧（6.6%）,本田奥德赛,22070.0,94.51415356944028,福特途睿欧（6.6%）、奔腾奔腾M9（3.2%）,9.845402766476811,2,100.0,6007.0,9652.0,-37.764193949440525,37156.0,13805.0,37.1541608353967,13805.0,1985.0,14.378848243390077,0.054858464305597154,0.6284583916460329,0.03447626224566689,头部锁死
20-25万,MPV,新能源,13805.0,广汽传祺E8（83.6%）、大运汽车远志M1（9.0%）、迈克萨斯G50（4.9%）,广汽传祺E8,13464.0,97.52988047808765,大运汽车远志M1（9.0%）,8.996740311481348,1,100.0,8148.0,4896.0,66.421568627451,37156.0,13805.0,37.1541608353967,13805.0,1985.0,14.378848243390077,0.024701195219123506,0.6284583916460329,0.015523673419145036,头部锁死
20-25万,SUV,其他能源,511457.0,坦克坦克300（18.1%）、宝马X1（14.0%）、奥迪Q3（11.1%）,坦克坦克300,221069.0,43.22337948253715,坦克坦克300（18.1%）、宝马X1（14.0%）、奥迪Q3（11.1%）,43.22337948253715,3,100.0,100064.0,110704.0,-9.611215493568437,923199.0,411742.0,44.59948505143528,411742.0,208984.0,50.75605597680101,0.5677662051746285,0.5540051494856473,0.3145454013706687,开放替代蓝海
20-25万,SUV,新能源,411742.0,比亚迪唐（22.4%）、小鹏G6（11.7%）、领克领克08（10.6%）,比亚迪唐,184064.0,44.703722233826035,比亚迪唐（22.4%）、小鹏G6（11.7%）、比亚迪护卫舰07（8.0%）,42.13075178145538,3,100.0,74615.0,143937.0,-48.16134836768864,923199.0,411742.0,44.59948505143528,411742.0,208984.0,50.75605597680101,0.5529627776617396,0.5540051494856473,0.3063442262984908,开放替代蓝海
20-25万,跑车,新能源,9038.0,哪吒哪吒GT（100.0%）,哪吒哪吒GT,9038.0,100.0,哪吒哪吒GT（100.0%）,100.0,1,100.0,21.0,1195.0,-98.24267782426779,9038.0,9038.0,100.0,9038.0,9038.0,100.0,0.0,0.0,0.0,头部锁死
20-25万,轿车,其他能源,313359.0,凯迪拉克CT5（28.0%）、奥迪A4（25.8%）、大众CC（11.9%）,凯迪拉克CT5,205939.0,65.7198293331291,凯迪拉克CT5（28.0%）、大众CC（11.9%）、丰田亚洲龙（6.5%）,46.45279056928315,3,100.0,69407.0,100141.0,-30.69072607623251,690221.0,376862.0,54.600193271430456,376862.0,283495.0,75.22514872818167,0.342801706668709,0.4539980672856955,0.1556313122898318,头部锁死
20-25万,轿车,新能源,376862.0,比亚迪汉（42.6%）、特斯拉MODEL 3（22.1%）、比亚迪海豹（9.2%）,比亚迪汉,278572.0,73.91883501122427,比亚迪汉（42.6%）、极狐阿尔法S（2.2%）、飞凡F7（2.1%）,46.97448933561888,3,100.0,58045.0,76977.0,-24.594359354092777,690221.0,376862.0,54.600193271430456,376862.0,283495.0,75.22514872818167,0.2608116498877573,0.4539980672856955,0.11840798497463528,头部锁死
25-30万,MPV,其他能源,204132.0,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,别克GL8,161296.0,79.01553896498345,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,79.01553896498345,3,100.0,38524.0,52865.0,-27.12758914215454,207648.0,3516.0,1.6932501155802127,3516.0,3516.0,100.0,0.20984461035016555,0.9830674988441979,0.20629141624287253,头部锁死
25-30万,MPV,新能源,3516.0,荣威iMAX8（63.0%）、迈克萨斯大家9（28.6%）、迈克萨斯大家7（8.4%）,荣威iMAX8,3516.0,100.0,荣威iMAX8（63.0%）,62.99772468714448,1,100.0,732.0,725.0,0.9655172413793212,207648.0,3516.0,1.6932501155802127,3516.0,3516.0,100.0,0.0,0.9830674988441979,0.0,头部锁死
25-30万,SUV,其他能源,337726.0,丰田汉兰达（19.9%）、奔驰GLB级（17.8%）、大众揽巡（10.3%）,丰田汉兰达,162141.0,48.00962910761979,丰田汉兰达（19.9%）、奔驰GLB级（17.8%）、大众揽巡（10.3%）,48.00962910761979,3,100.0,77805.0,89589.0,-13.153400529082814,1104809.0,767083.0,69.4312772614995,767083.0,547186.0,71.3333498461053,0.5199037089238021,0.305687227385005,0.15892792328809774,BEV友好
25-30万,SUV,新能源,767083.0,特斯拉MODEL Y（60.5%）、AITO问界M7（16.3%）、AITO问界M5（4.0%）,特斯拉MODEL Y,619934.0,80.81706933930226,特斯拉MODEL Y（60.5%）、AITO问界M5（4.0%）、比亚迪唐（2.9%）,67.41539051184813,3,100.0,234246.0,247287.0,-5.2736294265367745,1104809.0,767083.0,69.4312772614995,767083.0,547186.0,71.3333498461053,0.1918293066069774,0.305687227385005,0.058639768867874933,头部锁死
25-30万,跑车,其他能源,251.0,福特Mustang（97.2%）、斯巴鲁BRZ（2.8%）,福特Mustang,251.0,100.0,无满足9个月暴露期车型,0.0,0,100.0,,,,251.0,,,,,,0.0,,,头部锁死
25-30万,轿车,其他能源,452600.0,奔驰C级（30.1%）、宝马3系（28.9%）、雷克萨斯ES（19.1%）,奔驰C级,353142.0,78.02518780380026,奔驰C级（30.1%）、宝马3系（28.9%）、雷克萨斯ES（19.1%）,78.02518780380026,3,100.0,108662.0,114621.0,-5.198872806902754,668889.0,216289.0,32.335559412697776,216289.0,208624.0,96.45613045508556,0.21974812196199733,0.6766444058730222,0.1486913374266881,头部锁死
