market,price_bucket,body_type,total_sales_12m,nev_sales_12m,nev_penetration,market_growth_pct,regime,substitution_space,shock_count,confirmed_count,top_shocker,vacuum_crowded,opportunity
10-15万 SUV,10-15万,SUV,3671366.0,1816200.0,49.46932558617147,-14.95607042167716,substitution,0.5053067441382852,4,0,5239.333333333333,红海,REGIME1 替代中段
25-30万 轿车,25-30万,轿车,206452.0,91212.0,44.180729661131885,-56.738520469637635,substitution,0.5581927033886811,0,0,,vacuum,REGIME1 替代中段
5-10万 SUV,5-10万,SUV,1707385.0,470288.0,27.54434412859431,7.21419605287037,substitution,0.7245565587140569,2,1,21837.666666666668,红海,REGIME1 替代空间充足
15-20万 轿车,15-20万,轿车,978642.0,336994.0,34.43485973420311,-35.957862003164664,substitution,0.655651402657969,1,0,2395.0,crowded,REGIME1 替代空间充足
30-35万 轿车,30-35万,轿车,323251.0,71052.0,21.980442442560115,8.361855403996543,substitution,0.7801955755743989,0,0,,vacuum,REGIME1 替代空间充足
25-30万 MPV,25-30万,MPV,230432.0,43745.0,18.98390848493265,-12.868951018278342,substitution,0.8101609151506735,1,0,4999.5,crowded,REGIME1 替代空间充足
60万以上 SUV,60万以上,SUV,104621.0,5722.0,5.469265252673938,-42.97246766272206,substitution,0.9453073474732606,0,0,,vacuum,REGIME1 替代空间充足
35-40万 轿车,35-40万,轿车,104200.0,2753.0,2.6420345489443378,-42.30886350675739,substitution,0.9735796545105566,0,0,,vacuum,REGIME1 替代空间充足
5-10万 MPV,5-10万,MPV,95884.0,9621.0,10.033999415960952,-40.80101747865332,substitution,0.8996600058403905,0,0,,vacuum,REGIME1 替代空间充足
55-60万 SUV,55-60万,SUV,91120.0,18234.0,20.01097453906936,14.662505662656677,substitution,0.7998902546093064,1,0,5811.333333333333,crowded,REGIME1 替代空间充足
20-25万 MPV,20-25万,MPV,88455.0,32584.0,36.836809677237014,-20.50132115830532,substitution,0.6316319032276299,1,0,2202.0,crowded,REGIME1 替代空间充足
40-45万 轿车,40-45万,轿车,84090.0,6541.0,7.7785705791413955,-49.94523679135218,substitution,0.922214294208586,0,0,,vacuum,REGIME1 替代空间充足
60万以上 轿车,60万以上,轿车,68599.0,24237.0,35.33141882534731,4.045076745738041,substitution,0.6466858117465268,0,0,,vacuum,REGIME1 替代空间充足
10-15万 MPV,10-15万,MPV,67626.0,24883.0,36.79501966699198,-12.809272701486574,substitution,0.6320498033300801,0,0,,vacuum,REGIME1 替代空间充足
15-20万 SUV,15-20万,SUV,1569590.0,994402.0,63.35425174727158,-29.71209809559592,shock,,7,1,11937.0,红海,REGIME2 冲击已确认
20-25万 SUV,20-25万,SUV,1092207.0,831153.0,76.0984868252996,1.151913048068609,shock,,3,1,19183.0,红海,REGIME2 冲击已确认
35-40万 SUV,35-40万,SUV,260784.0,202729.0,77.73828148966194,9.983467728330918,shock,,2,1,10546.0,红海,REGIME2 冲击已确认
5-10万 轿车,5-10万,轿车,3029598.0,1892310.0,62.46076212091505,-12.530979113206286,shock,,5,0,9169.333333333334,红海,REGIME2 冲击进行中
10-15万 轿车,10-15万,轿车,2455501.0,1258961.0,51.27104407613762,-22.741394109029766,shock,,4,0,5038.666666666667,红海,REGIME2 冲击进行中
25-30万 SUV,25-30万,SUV,1217514.0,929762.0,76.36561058024795,-4.044658324099137,shock,,2,0,4470.375,红海,REGIME2 冲击进行中
20-25万 轿车,20-25万,轿车,911476.0,507325.0,55.65972115557622,1.1576558329495112,shock,,1,0,2156.0,crowded,REGIME2 冲击进行中
30-35万 SUV,30-35万,SUV,634691.0,445204.0,70.14499969276388,20.153151532935155,shock,,3,0,5390.666666666667,红海,REGIME2 冲击进行中
50-55万 SUV,50-55万,SUV,119610.0,109214.0,91.30841902850932,-10.881130135455319,shock,,1,0,6026.0,crowded,REGIME2 冲击进行中
45-50万 MPV,45-50万,MPV,38460.0,35867.0,93.25793031721268,32.11954654757816,shock,,1,0,3311.25,crowded,REGIME2 冲击进行中
5万以下 轿车,5万以下,轿车,655717.0,611369.0,93.23671644932189,-24.710538643837378,shock,,0,0,,vacuum,观察
30-35万 MPV,30-35万,MPV,213380.0,205856.0,96.47389633517668,67.89412394171153,shock,,0,0,,vacuum,观察
40-45万 SUV,40-45万,SUV,193046.0,172921.0,89.57502356951193,31.16944004674771,shock,,0,0,,vacuum,观察
45-50万 SUV,45-50万,SUV,87630.0,54512.0,62.20700673285404,5.713320626342067,shock,,0,0,,vacuum,观察
35-40万 MPV,35-40万,MPV,40663.0,40174.0,98.79743255539434,-73.07032590051459,shock,,0,0,,vacuum,观察
