brand,model,sales_12m,active_months,recent_3m_sales,prior_3m_sales,recent_3m_avg,prior_3m_avg,growth_pct,price_bucket,body_type,vehicle_level_group,fuel_type_group,primary_segment_sales,model_recent_segment_sales,segment_recent_sales,recent_segment_share_pct,current_rank,breakout,dominant,scale_hit,persistent,breakout_type,current_status
比亚迪,宋,557941.0,12,135141.0,166939.0,45047.0,55646.333333333336,-19.04767609725708,15-20万,SUV,A,新能源,413934.0,55596.0,73486.0,75.65522684592983,1,False,True,True,True,统治型爆款,下滑
比亚迪,秦,497183.0,12,114152.0,115106.0,38050.666666666664,38368.666666666664,-0.8288012788212562,10-15万,轿车,A,新能源,356713.0,34316.0,119776.0,28.65014694095645,2,False,True,True,True,统治型爆款,稳定
特斯拉,MODEL Y,463948.0,12,101511.0,136369.0,33837.0,45456.333333333336,-25.561527913235416,25-30万,SUV,B,新能源,463948.0,101511.0,130264.0,77.92713259227415,3,False,True,True,True,统治型爆款,下滑
日产,轩逸,384037.0,12,83170.0,127291.0,27723.333333333332,42430.333333333336,-34.661523595540935,5-10万,轿车,A,其他能源,248928.0,56221.0,338446.0,16.611512619442983,4,False,False,True,True,持续型爆款,下滑
大众,朗逸,336562.0,12,79245.0,91602.0,26415.0,30534.0,-13.489880133621535,10-15万,轿车,A,其他能源,244671.0,57811.0,402642.0,14.357915965050838,5,False,False,True,True,持续型爆款,稳定
AITO,问界M7,130006.0,12,74979.0,46535.0,24993.0,15511.666666666666,61.123885247663054,25-30万,SUV,C,新能源,125036.0,74979.0,101785.0,73.6640958883922,6,True,True,True,True,规模爆款,上升
长安,CS75,266760.0,12,66043.0,71032.0,22014.333333333332,23677.333333333332,-7.023594999436877,10-15万,SUV,A,其他能源,185665.0,37021.0,437593.0,8.460144472146492,7,False,False,True,True,持续型爆款,稳定
比亚迪,海鸥,286702.0,12,66022.0,107557.0,22007.333333333332,35852.333333333336,-38.61673345295983,5-10万,轿车,A0,新能源,286702.0,66022.0,105242.0,62.73350943539652,8,False,True,True,True,统治型爆款,下滑
丰田,卡罗拉,313031.0,12,61061.0,82390.0,20353.666666666668,27463.333333333332,-25.88785046728971,10-15万,SUV,A,其他能源,149280.0,34541.0,437593.0,7.893407801313092,9,False,False,True,True,持续型爆款,下滑
大众,速腾,298747.0,12,60228.0,91549.0,20076.0,30516.333333333332,-34.21227976275,10-15万,轿车,A,其他能源,298747.0,60228.0,402642.0,14.958201081854353,10,False,False,True,True,持续型爆款,下滑
大众,帕萨特,220281.0,12,55704.0,57575.0,18568.0,19191.666666666668,-3.249674337820241,15-20万,轿车,B,其他能源,209264.0,54152.0,198082.0,27.338173079835627,11,False,True,True,True,统治型爆款,稳定
哈弗,哈弗H6,227951.0,12,52858.0,67774.0,17619.333333333332,22591.333333333332,-22.008439814678194,5-10万,SUV,A,其他能源,123077.0,32482.0,190597.0,17.04224095867196,12,False,False,True,True,持续型爆款,下滑
比亚迪,元,288505.0,12,50491.0,86551.0,16830.333333333332,28850.333333333332,-41.663296784554774,10-15万,SUV,A,新能源,246972.0,46020.0,209149.0,22.00345208439916,13,False,True,True,True,统治型爆款,下滑
奥迪,A6,190872.0,12,49241.0,52731.0,16413.666666666668,17577.0,-6.618497657924172,35-40万,轿车,C,其他能源,186453.0,48282.0,67646.0,71.37450847056736,14,False,True,True,True,统治型爆款,稳定
奔驰,C级,168729.0,12,47360.0,41114.0,15786.666666666666,13704.666666666666,15.191905433672236,25-30万,轿车,B,其他能源,136120.0,46428.0,101589.0,45.70179842305762,15,False,True,True,True,规模爆款,上升
五菱,宏光MINI EV,208714.0,12,43352.0,67109.0,14450.666666666666,22369.666666666668,-35.40061690682323,5万以下,轿车,A00,新能源,208714.0,43352.0,105808.0,40.97232723423559,16,False,True,True,True,统治型爆款,下滑
吉利,博越,183360.0,12,43291.0,51669.0,14430.333333333334,17223.0,-16.214751591863585,10-15万,SUV,A,其他能源,174570.0,35169.0,437593.0,8.036920151830582,17,False,False,True,True,持续型爆款,下滑
大众,迈腾,198468.0,12,42434.0,57371.0,14144.666666666666,19123.666666666668,-26.03580206027436,15-20万,轿车,B,其他能源,187329.0,40302.0,198082.0,20.346119283932918,18,False,True,True,True,统治型爆款,下滑
丰田,锋兰达,202358.0,12,41788.0,62401.0,13929.333333333334,20800.333333333332,-33.033124469159134,10-15万,SUV,A,其他能源,202358.0,41788.0,437593.0,9.549512903542789,19,False,False,True,True,持续型爆款,下滑
吉利,星瑞,144654.0,12,41500.0,46012.0,13833.333333333334,15337.333333333334,-9.806137529340175,10-15万,轿车,A,其他能源,144244.0,41500.0,402642.0,10.306922775070658,20,False,False,True,True,持续型爆款,稳定
吉利,星越,164157.0,12,41078.0,45867.0,13692.666666666666,15289.0,-10.441057841149416,10-15万,SUV,A,其他能源,133151.0,38107.0,437593.0,8.708320288487247,21,False,False,True,True,持续型爆款,稳定
大众,途观,173993.0,12,40886.0,51253.0,13628.666666666666,17084.333333333332,-20.227108657054217,15-20万,SUV,B,其他能源,119313.0,39242.0,140216.0,27.9868203343413,22,False,True,True,True,统治型爆款,下滑
奇瑞,瑞虎8,148397.0,12,39959.0,45778.0,13319.666666666666,15259.333333333334,-12.711346061426898,10-15万,SUV,B,其他能源,124838.0,28264.0,102903.0,27.466643343731473,23,False,True,True,True,统治型爆款,稳定
比亚迪,海豚,263023.0,12,38645.0,77496.0,12881.666666666666,25832.0,-50.132910085681836,10-15万,轿车,A0,新能源,263023.0,38645.0,51452.0,75.10883930653813,24,False,True,True,True,统治型爆款,下滑
长安,逸动,169132.0,12,37826.0,41366.0,12608.666666666666,13788.666666666666,-8.557752743799252,5-10万,轿车,A,其他能源,161035.0,35723.0,338446.0,10.55500729806232,25,False,False,True,True,持续型爆款,稳定
本田,CR-V,216996.0,12,37817.0,77639.0,12605.666666666666,25879.666666666668,-51.29123249913059,15-20万,SUV,A,其他能源,206930.0,36242.0,154450.0,23.465199093557786,26,False,True,True,True,统治型爆款,下滑
奥迪,Q5,153921.0,12,37329.0,39813.0,12443.0,13271.0,-6.239168110918547,30-35万,SUV,B,其他能源,145381.0,36311.0,78482.0,46.266659871053236,27,False,True,True,True,统治型爆款,稳定
吉利,新帝豪,159679.0,12,37172.0,41082.0,12390.666666666666,13694.0,-9.517550265323017,5-10万,轿车,A,其他能源,142136.0,35352.0,338446.0,10.445388629205251,28,False,False,True,True,持续型爆款,稳定
五菱,五菱缤果,197024.0,12,36590.0,71448.0,12196.666666666666,23816.0,-48.787929683126194,5-10万,轿车,A0,新能源,197024.0,36590.0,105242.0,34.767488265141296,29,False,True,True,True,统治型爆款,下滑
宝马,3系,156726.0,12,36552.0,37218.0,12184.0,12406.0,-1.7894567144929874,25-30万,轿车,B,其他能源,130693.0,36549.0,101589.0,35.97732037917491,30,False,True,True,True,统治型爆款,稳定
丰田,RAV4荣放,180517.0,12,35320.0,58457.0,11773.333333333334,19485.666666666668,-39.57951998905178,15-20万,SUV,A,其他能源,177298.0,35300.0,154450.0,22.85529297507284,31,False,True,True,True,统治型爆款,下滑
比亚迪,汉,204518.0,12,34958.0,48716.0,11652.666666666666,16238.666666666666,-28.241234912554404,20-25万,轿车,C,新能源,160709.0,4311.0,9626.0,44.784957407022645,32,False,True,True,True,统治型爆款,下滑
理想,理想L7,160420.0,12,34538.0,52580.0,11512.666666666666,17526.666666666668,-34.313427158615454,30-35万,SUV,C,新能源,151776.0,25894.0,62554.0,41.39463503532947,33,False,True,True,True,统治型爆款,下滑
大众,探岳,147430.0,12,34349.0,37499.0,11449.666666666666,12499.666666666666,-8.400224005973488,15-20万,SUV,B,其他能源,141396.0,34087.0,140216.0,24.31034974610601,34,False,True,True,True,统治型爆款,稳定
