price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
10-15万,MPV,其他能源,89257.0,广汽传祺M6（58.0%）、迈克萨斯G50（11.5%）、五菱凯捷（6.3%）,广汽传祺M6,67606.0,75.7430789741981,广汽传祺M6（58.0%）、迈克萨斯G50（11.5%）、五菱凯捷（6.3%）,75.7430789741981,3,100.0
10-15万,MPV,新能源,7039.0,极狐考拉（47.2%）、东风风行菱智（39.2%）、比亚迪宋MAX（8.9%）,极狐考拉,6703.0,95.22659468674529,东风风行菱智（39.2%）、东风风光风光（4.7%）,43.86986787896008,2,100.0
10-15万,SUV,其他能源,2544885.0,丰田锋兰达（8.0%）、长安CS75（7.3%）、吉利博越（6.9%）,丰田锋兰达,562593.0,22.106814256832823,丰田锋兰达（8.0%）、长安CS75（7.3%）、吉利博越（6.9%）,22.106814256832823,3,100.0
10-15万,SUV,新能源,791600.0,比亚迪元（32.5%）、埃安AION Y（25.0%）、比亚迪宋（18.2%）,比亚迪元,599261.0,75.70250126326428,比亚迪元（32.5%）、埃安AION Y（25.0%）、欧尚汽车欧尚Z6（4.7%）,62.26351692774128,3,100.0
10-15万,轿车,其他能源,2186322.0,大众速腾（13.7%）、大众朗逸（11.2%）、本田思域（8.2%）,大众速腾,723253.0,33.08080877382197,大众速腾（13.7%）、大众朗逸（11.2%）、本田思域（8.2%）,33.08080877382197,3,100.0
10-15万,轿车,新能源,1399422.0,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,比亚迪秦,819152.0,58.53502374551779,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,58.53502374551779,3,100.0
15-20万,MPV,其他能源,53869.0,广汽传祺M8（52.5%）、现代库斯途（24.4%）、迈克萨斯G20（10.3%）,广汽传祺M8,47008.0,87.26354675230652,广汽传祺M8（52.5%）、现代库斯途（24.4%）、迈克萨斯G20（10.3%）,87.26354675230652,3,100.0
15-20万,MPV,新能源,7032.0,比亚迪宋MAX（56.2%）、极狐考拉（15.8%）、迈克萨斯G50（13.4%）,比亚迪宋MAX,6008.0,85.43799772468714,瑞风瑞风M3（11.1%）,11.092150170648464,1,100.0
15-20万,SUV,其他能源,1500890.0,本田CR-V（13.8%）、丰田RAV4荣放（11.8%）、大众探岳（9.4%）,本田CR-V,525624.0,35.020820979552134,本田CR-V（13.8%）、丰田RAV4荣放（11.8%）、大众探岳（9.4%）,35.020820979552134,3,100.0
15-20万,SUV,新能源,873501.0,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,比亚迪宋,563719.0,64.53558725176045,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,64.53558725176045,3,100.0
15-20万,跑车,新能源,43.0,哪吒哪吒GT（100.0%）,哪吒哪吒GT,43.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
15-20万,轿车,其他能源,1224777.0,大众帕萨特（17.1%）、丰田凯美瑞（16.9%）、大众迈腾（15.3%）,大众帕萨特,603013.0,49.23451371147564,大众帕萨特（17.1%）、丰田凯美瑞（16.9%）、大众迈腾（15.3%）,49.23451371147564,3,100.0
15-20万,轿车,新能源,299926.0,红旗E-QM5（26.3%）、比亚迪汉（12.7%）、比亚迪海豹（12.4%）,红旗E-QM5,154018.0,51.35200016003948,红旗E-QM5（26.3%）、深蓝SL03（7.6%）、零跑零跑C01（6.9%）,40.867080546534815,3,100.0
20-25万,MPV,其他能源,23351.0,本田奥德赛（75.2%）、荣威iMAX8（12.7%）、福特途睿欧（6.6%）,本田奥德赛,22070.0,94.51415356944028,福特途睿欧（6.6%）、奔腾奔腾M9（3.2%）,9.845402766476811,2,100.0
20-25万,MPV,新能源,13805.0,广汽传祺E8（83.6%）、大运汽车远志M1（9.0%）、迈克萨斯G50（4.9%）,广汽传祺E8,13464.0,97.52988047808765,大运汽车远志M1（9.0%）,8.996740311481348,1,100.0
