as_of,brand,model,target_market,shock_state,tail_monthly_sales,val_12m,is_breakout
2023-06,迈克萨斯,G10,10-15万 MPV 其他能源,SHOCK_NONE,137.33333333333334,1302.0,False
2023-06,凯翼,昆仑,10-15万 SUV 其他能源,SHOCK_NONE,331.0,5766.0,False
2023-06,别克,昂扬,10-15万 SUV 其他能源,SHOCK_NONE,380.3333333333333,1855.0,False
2023-06,哈弗,哈弗二代大狗,10-15万 SUV 其他能源,SHOCK_NONE,1553.6666666666667,44806.0,False
2023-06,奔腾,奔腾T90,10-15万 SUV 其他能源,SHOCK_NONE,190.0,3628.0,False
2023-06,斯威,斯威G05,10-15万 SUV 其他能源,SHOCK_NONE,39.666666666666664,257.0,False
2023-06,本田,HR-V,10-15万 SUV 其他能源,SHOCK_NONE,2150.0,39106.0,False
2023-06,本田,致在,10-15万 SUV 其他能源,SHOCK_NONE,1161.3333333333333,10144.0,False
2023-06,欧尚汽车,欧尚X5,10-15万 SUV 其他能源,SHOCK_NONE,0.0,0.0,False
2023-06,现代,沐飒,10-15万 SUV 其他能源,SHOCK_NONE,637.0,32726.0,False
2023-06,福特,锐际,10-15万 SUV 其他能源,SHOCK_NONE,1205.0,11347.0,False
2023-06,荣威,RX8,10-15万 SUV 其他能源,SHOCK_NONE,84.83333333333333,27.0,False
2023-06,起亚,赛图斯,10-15万 SUV 其他能源,SHOCK_NONE,104.0,3945.0,False
2023-06,哈弗,哈弗H6,10-15万 SUV 新能源,SHOCK_NONE,466.5,2223.0,False
2023-06,哈弗,哈弗枭龙,10-15万 SUV 新能源,SHOCK_NONE,167.5,2715.0,False
2023-06,奇瑞,瑞虎7,10-15万 SUV 新能源,SHOCK_NONE,63.0,1915.0,False
2023-06,星途,星途追风,10-15万 SUV 新能源,SHOCK_NONE,31.0,1199.0,False
2023-06,欧尚汽车,欧尚Z6,10-15万 SUV 新能源,SHOCK_CANDIDATE,2662.5,36529.0,False
2023-06,荣威,RX5,10-15万 SUV 新能源,SHOCK_NONE,76.66666666666667,4936.0,False
2023-06,蓝电,蓝电E5,10-15万 SUV 新能源,SHOCK_NONE,88.33333333333333,18384.0,False
2023-06,马自达,CX-30,10-15万 SUV 新能源,SHOCK_NONE,24.333333333333332,224.0,False
2023-06,MG,MG7,10-15万 轿车 其他能源,SHOCK_NONE,3138.5,31490.0,False
2023-06,丰田,雷凌,10-15万 轿车 新能源,SHOCK_NONE,1.0,6.0,False
2023-06,大众,ID.3,10-15万 轿车 新能源,SHOCK_NONE,1785.3333333333333,102940.0,True
2023-06,深蓝,SL03,10-15万 轿车 新能源,SHOCK_CANDIDATE,4812.0,38841.0,False
2023-06,钇为,钇为3,10-15万 轿车 新能源,SHOCK_NONE,340.0,9298.0,False
2023-06,长安,UNI-V,10-15万 轿车 新能源,SHOCK_CANDIDATE,2523.0,14630.0,False
2023-06,广汽传祺,M8,15-20万 MPV 其他能源,SHOCK_NONE,3971.3333333333335,18837.0,False
2023-06,欧尚汽车,科尚,15-20万 MPV 其他能源,SHOCK_NONE,4.666666666666667,55.0,False
2023-06,丰田,凌放,15-20万 SUV 其他能源,SHOCK_NONE,1443.0,11716.0,False
2023-06,丰田,威飒,15-20万 SUV 其他能源,SHOCK_NONE,941.25,17671.0,False
2023-06,大众,探歌,15-20万 SUV 其他能源,SHOCK_NONE,2066.0,0.0,False
2023-06,奇瑞,瑞虎9,15-20万 SUV 其他能源,SHOCK_NONE,1881.0,51311.0,True
2023-06,捷途,捷途X95,15-20万 SUV 其他能源,SHOCK_NONE,68.0,4.0,False
2023-06,星途,星途瑶光,15-20万 SUV 其他能源,SHOCK_NONE,644.6666666666666,19610.0,False
2023-06,本田,HR-V,15-20万 SUV 其他能源,SHOCK_NONE,452.5,4164.0,False
2023-06,现代,胜达,15-20万 SUV 其他能源,SHOCK_NONE,141.5,1501.0,False
2023-06,起亚,狮铂拓界,15-20万 SUV 其他能源,SHOCK_NONE,260.22222222222223,2790.0,False
2023-06,马自达,CX-50行也,15-20万 SUV 其他能源,SHOCK_NONE,1116.0,10690.0,False
2023-06,东风风行,风行雷霆,15-20万 SUV 新能源,SHOCK_NONE,206.0,1853.0,False
2023-06,丰田,bZ4X,15-20万 SUV 新能源,SHOCK_NONE,443.6666666666667,1700.0,False
2023-06,丰田,铂智4X,15-20万 SUV 新能源,SHOCK_NONE,752.0,3034.0,False
2023-06,吉利,银河L7,15-20万 SUV 新能源,SHOCK_CANDIDATE,4636.0,43692.0,False
2023-06,哈弗,哈弗二代大狗,15-20万 SUV 新能源,SHOCK_CANDIDATE,2132.6666666666665,15537.0,False
2023-06,哈弗,哈弗枭龙MAX,15-20万 SUV 新能源,SHOCK_CANDIDATE,2644.0,18087.0,False
2023-06,大众,ID.4 CROZZ,15-20万 SUV 新能源,SHOCK_NONE,1471.0,41112.0,False
2023-06,大众,ID.4 X,15-20万 SUV 新能源,SHOCK_NONE,941.6666666666666,23616.0,False
2023-06,大众,探岳,15-20万 SUV 新能源,SHOCK_NONE,1012.0,2451.0,False
2023-06,天际,天际ME7,15-20万 SUV 新能源,SHOCK_NONE,8.0,26.0,False
2023-06,奇瑞,瑞虎7,15-20万 SUV 新能源,SHOCK_NONE,20.0,0.0,False
2023-06,捷途,捷途大圣,15-20万 SUV 新能源,SHOCK_NONE,199.0,3467.0,False
2023-06,深蓝,S7,15-20万 SUV 新能源,SHOCK_NONE,478.0,79201.0,True
2023-06,MG,MG7,15-20万 轿车 其他能源,SHOCK_NONE,2848.0,0.0,False
2023-06,奔驰,A级,15-20万 轿车 其他能源,SHOCK_NONE,5177.0,29463.0,False
2023-06,标致,408,15-20万 轿车 其他能源,SHOCK_NONE,355.6666666666667,2470.0,False
2023-06,英菲尼迪,Q50L,15-20万 轿车 其他能源,SHOCK_NONE,460.0,1093.0,False
2023-06,丰田,bZ3,15-20万 轿车 新能源,SHOCK_CANDIDATE,2085.3333333333335,2160.0,False
2023-06,合创,合创A06,15-20万 轿车 新能源,SHOCK_NONE,178.33333333333334,1238.0,False
2023-06,哪吒,哪吒S,15-20万 轿车 新能源,SHOCK_NONE,733.0,11413.0,False
2023-06,大众,迈腾,15-20万 轿车 新能源,SHOCK_NONE,1397.0,9154.0,False
2023-06,欧拉,芭蕾猫,15-20万 轿车 新能源,SHOCK_NONE,355.6666666666667,2208.0,False
2023-06,欧拉,闪电猫,15-20万 轿车 新能源,SHOCK_NONE,409.5,7774.0,False
2023-06,荣威,荣威Ei5,15-20万 轿车 新能源,SHOCK_NONE,866.6666666666666,0.0,False
2023-06,零跑,零跑C01,15-20万 轿车 新能源,SHOCK_NONE,1191.8333333333333,13691.0,False
2023-06,奔腾,奔腾M9,20-25万 MPV 其他能源,SHOCK_NONE,49.666666666666664,722.0,False
2023-06,凯迪拉克,GT4,20-25万 SUV 其他能源,SHOCK_NONE,219.0,4094.0,False
2023-06,斯巴鲁,旭豹,20-25万 SUV 其他能源,SHOCK_NONE,24.0,939.0,False
