body_type,fuel_type_group,price_bucket,freeze,top3_price,top3_price_position,position_delta
MPV,其他能源,10-15万,2023-03,121345.6062918602,24267.12125837204,
MPV,其他能源,15-20万,2023-03,188250.94236762944,37647.18847352589,
MPV,其他能源,20-25万,2023-03,214682.65118532104,42932.53023706421,
MPV,其他能源,25-30万,2023-03,283448.6803641746,56684.736072834916,
MPV,其他能源,30-35万,2023-03,314135.8126732261,62821.16253464522,
MPV,其他能源,35-40万,2023-03,376370.5154859708,75267.10309719417,
MPV,其他能源,40-45万,2023-03,448388.43595642777,89669.68719128556,
MPV,其他能源,45-50万,2023-03,473202.1436260985,94631.42872521971,
MPV,其他能源,5-10万,2023-03,62069.56918609702,12412.913837219403,
MPV,其他能源,50-55万,2023-03,523657.92893511325,104721.58578702265,
MPV,其他能源,55-60万,2023-03,581529.0919148949,116294.81838297898,
MPV,其他能源,5万以下,2023-03,45265.923021168834,9053.184604233767,
MPV,其他能源,60万以上,2023-03,1148463.6337151215,114840.36337151215,
MPV,新能源,10-15万,2023-03,138057.79644996492,27609.559289992983,
MPV,新能源,15-20万,2023-03,166867.6761151817,33370.53522303634,
MPV,新能源,20-25万,2023-03,217996.72119610867,43595.34423922173,
MPV,新能源,25-30万,2023-03,297008.3808529819,59396.67617059637,
MPV,新能源,30-35万,2023-03,309216.65257930814,61837.33051586163,
MPV,新能源,35-40万,2023-03,398031.94581662526,79599.38916332505,
MPV,新能源,40-45万,2023-03,410133.1497822623,82018.62995645245,
MPV,新能源,50-55万,2023-03,507454.9926513762,101480.99853027523,
SUV,其他能源,10-15万,2023-03,125747.67811237153,25147.53562247431,
SUV,其他能源,15-20万,2023-03,178888.54685144438,35774.709370288874,
SUV,其他能源,20-25万,2023-03,220574.05693436778,44110.81138687355,
SUV,其他能源,25-30万,2023-03,278674.3182528384,55729.86365056768,
SUV,其他能源,30-35万,2023-03,332325.9631641482,66459.19263282964,
SUV,其他能源,35-40万,2023-03,380626.95502149395,76118.39100429878,
SUV,其他能源,40-45万,2023-03,408874.76438081893,81766.95287616379,
SUV,其他能源,45-50万,2023-03,465607.5275421468,93112.50550842936,
SUV,其他能源,5-10万,2023-03,88127.60691701226,17624.521383402454,
SUV,其他能源,50-55万,2023-03,529532.6483597085,105896.5296719417,
SUV,其他能源,55-60万,2023-03,572911.2978913584,114571.25957827168,
SUV,其他能源,60万以上,2023-03,733586.4001248026,73352.64001248026,
SUV,新能源,10-15万,2023-03,131685.90031323195,26335.18006264639,
SUV,新能源,15-20万,2023-03,163860.16121140463,32769.032242280926,
SUV,新能源,20-25万,2023-03,219972.97196447215,43990.59439289443,
SUV,新能源,25-30万,2023-03,278483.46422260837,55691.692844521676,
SUV,新能源,30-35万,2023-03,333320.61053741066,66658.12210748214,
SUV,新能源,35-40万,2023-03,373916.1167960089,74776.22335920177,
SUV,新能源,40-45万,2023-03,407533.85453123815,81498.77090624764,
SUV,新能源,45-50万,2023-03,463851.64781344193,92761.32956268839,
SUV,新能源,5-10万,2023-03,80404.27512527561,16079.855025055123,
SUV,新能源,50-55万,2023-03,521243.0298229469,104238.60596458937,
SUV,新能源,55-60万,2023-03,567149.310087826,113418.8620175652,
SUV,新能源,60万以上,2023-03,807039.7020283024,80697.97020283024,
跑车,其他能源,30-35万,2023-03,305330.8494887022,61060.16989774044,
跑车,其他能源,35-40万,2023-03,359499.57311071723,71892.91462214345,
跑车,其他能源,45-50万,2023-03,488482.3329213274,97687.46658426548,
跑车,其他能源,50-55万,2023-03,500681.71859034745,100126.34371806949,
跑车,其他能源,55-60万,2023-03,589279.703926034,117844.94078520681,
跑车,其他能源,60万以上,2023-03,1086455.6500169928,108639.56500169929,
轿车,其他能源,10-15万,2023-03,120177.86447724585,24033.57289544917,
轿车,其他能源,15-20万,2023-03,186590.18587240356,37315.03717448071,
轿车,其他能源,20-25万,2023-03,223248.7244991599,44645.74489983198,
轿车,其他能源,25-30万,2023-03,269473.78881164204,53889.75776232841,
