brand,model,sales_12m,active_months,recent_3m_sales,prior_3m_sales,recent_3m_avg,prior_3m_avg,growth_pct,price_bucket,body_type,vehicle_level_group,fuel_type_group,primary_segment_sales,model_recent_segment_sales,segment_recent_sales,recent_segment_share_pct,current_rank,breakout,dominant,scale_hit,persistent,breakout_type,current_status
吉利银河,星愿,414079.0,12,104947.0,77702.0,34982.333333333336,25900.666666666668,35.0634475303081,5-10万,轿车,A0,新能源,414079.0,104947.0,269657.0,38.918700423130126,1,True,True,True,True,规模爆款,上升
特斯拉,MODEL Y,341077.0,12,76820.0,68158.0,25606.666666666668,22719.333333333332,12.70870624138034,25-30万,SUV,B,新能源,341077.0,76820.0,93420.0,82.23078569899378,2,False,True,True,True,规模爆款,稳定
比亚迪,元,286242.0,12,73922.0,55001.0,24640.666666666668,18333.666666666668,34.40119270558717,5-10万,SUV,A0,新能源,206095.0,54675.0,122173.0,44.752113805832714,3,True,True,True,True,规模爆款,上升
零跑,零跑A10,76737.0,5,65513.0,11224.0,21837.666666666668,3741.3333333333335,483.6867426942266,5-10万,SUV,A0,新能源,76737.0,65513.0,122173.0,53.62314095585767,4,True,True,True,False,规模爆款,上升
小米,小米SU7,180140.0,12,65417.0,35554.0,21805.666666666668,11851.333333333334,83.99336220959668,20-25万,轿车,C,新能源,168239.0,65254.0,86828.0,75.15317639471138,5,True,True,True,True,规模爆款,上升
比亚迪,秦,441024.0,12,64081.0,62720.0,21360.333333333332,20906.666666666668,2.1699617346938593,5-10万,轿车,A,新能源,238588.0,37500.0,116458.0,32.200449947620605,6,False,True,True,True,规模爆款,稳定
理想,理想i6,165798.0,12,57549.0,61125.0,19183.0,20375.0,-5.850306748466261,20-25万,SUV,B,新能源,165784.0,57549.0,74269.0,77.48724232183011,7,False,True,True,True,统治型爆款,稳定
五菱,五菱缤果,198450.0,12,55488.0,34655.0,18496.0,11551.666666666666,60.11542345981822,5-10万,轿车,A0,新能源,186335.0,55488.0,269657.0,20.577251842155032,8,True,True,True,True,规模爆款,上升
方程豹,钛7,193420.0,12,54130.0,38011.0,18043.333333333332,12670.333333333334,42.40614558943463,20-25万,SUV,C,新能源,167522.0,28239.0,68442.0,41.25975278337863,9,True,True,True,True,规模爆款,上升
比亚迪,海狮06,231834.0,12,50992.0,43107.0,16997.333333333332,14369.0,18.29169276451619,15-20万,SUV,B,新能源,140028.0,35811.0,168688.0,21.229133074077584,10,False,True,True,True,规模爆款,上升
启源,Q05,90439.0,11,49434.0,30293.0,16478.0,10097.666666666666,63.18621463704488,5-10万,SUV,A,新能源,88651.0,49434.0,64533.0,76.60266840221283,11,True,True,True,True,规模爆款,上升
比亚迪,海狮05,116250.0,12,48541.0,13614.0,16180.333333333334,4538.0,256.552078742471,10-15万,SUV,A,新能源,116250.0,48541.0,217543.0,22.31328978638706,12,True,True,True,True,规模爆款,上升
比亚迪,宋,202289.0,12,45660.0,36453.0,15220.0,12151.0,25.25718047897292,10-15万,SUV,A,新能源,202288.0,45659.0,217543.0,20.988494228727195,13,True,True,True,True,规模爆款,上升
丰田,卡罗拉锐放,43631.0,3,43631.0,,14543.666666666666,,,5-10万,SUV,A,其他能源,43631.0,43631.0,221299.0,19.715859538452502,14,False,False,True,False,规模爆款,稳定
大众,朗逸,220155.0,12,43376.0,47211.0,14458.666666666666,15737.0,-8.123106903052257,5-10万,轿车,A,其他能源,200258.0,43368.0,222023.0,19.53311143440094,15,False,False,True,True,持续型爆款,稳定
比亚迪,海豹06,221098.0,12,43152.0,39233.0,14384.0,13077.666666666666,9.989039838911129,10-15万,轿车,B,新能源,168632.0,43152.0,188091.0,22.942086543215783,16,False,True,True,True,规模爆款,稳定
丰田,凯美瑞,185020.0,12,42119.0,33987.0,14039.666666666666,11329.0,23.92679553947097,15-20万,轿车,B,其他能源,98317.0,,76376.0,,17,False,False,True,True,规模爆款,上升
吉利,博越,238880.0,12,41206.0,51797.0,13735.333333333334,17265.666666666668,-20.447130142672354,10-15万,SUV,A,其他能源,161797.0,26929.0,227197.0,11.852709322746339,18,False,False,True,True,持续型爆款,下滑
比亚迪,海豚,167786.0,12,39879.0,37433.0,13293.0,12477.666666666666,6.534341356557061,5-10万,轿车,A0,新能源,167786.0,39879.0,269657.0,14.788787237119749,19,False,False,True,True,规模爆款,稳定
丰田,RAV4荣放,168374.0,12,39462.0,32766.0,13154.0,10922.0,20.43581761582127,10-15万,SUV,A,其他能源,89225.0,,227197.0,,20,False,False,True,True,规模爆款,上升
日产,轩逸,248547.0,12,38904.0,50792.0,12968.0,16930.666666666668,-23.405260670971817,5-10万,轿车,A,其他能源,248509.0,38898.0,222023.0,17.519806506533104,21,False,False,True,True,持续型爆款,下滑
吉利,星越,177092.0,12,38650.0,34569.0,12883.333333333334,11523.0,11.805374757730913,10-15万,SUV,A,其他能源,175360.0,38531.0,227197.0,16.959290835706458,22,False,False,True,True,规模爆款,稳定
五菱,宏光MINI EV,306138.0,12,38011.0,31869.0,12670.333333333334,10623.0,19.27264740029497,5万以下,轿车,A00,新能源,306138.0,38011.0,80552.0,47.18815175290496,23,False,True,True,True,规模爆款,上升
小鹏,MONA M03,143758.0,12,37282.0,27138.0,12427.333333333334,9046.0,37.379320509986,10-15万,轿车,A,新能源,143758.0,37282.0,68407.0,54.50027044015964,24,True,True,True,True,规模爆款,上升
吉利,缤越,132803.0,12,36685.0,31066.0,12228.333333333334,10355.333333333334,18.087298010686915,5-10万,SUV,A0,其他能源,132803.0,36685.0,50161.0,73.13450688782122,25,False,True,True,True,规模爆款,上升
大众,迈腾,166835.0,12,36275.0,33691.0,12091.666666666666,11230.333333333334,7.669704075272321,15-20万,轿车,B,其他能源,165989.0,35435.0,76376.0,46.395464543835764,26,False,True,True,True,规模爆款,稳定
大众,探岳,162781.0,12,35838.0,33834.0,11946.0,11278.0,5.923035999290649,10-15万,SUV,B,其他能源,159350.0,34737.0,141351.0,24.574994163465416,27,False,True,True,True,规模爆款,稳定
