price_bucket,body_type,vehicle_level_group,fuel_type_group,brand,model,sales,first_active_month,last_active_month,active_months,weighted_tp
5-10万,轿车,A0,新能源,吉利银河,星愿,414079.0,2025-08-01,2026-07-01,12.0,72659.63372401305
25-30万,SUV,B,新能源,特斯拉,MODEL Y,341077.0,2025-08-01,2026-07-01,12.0,272538.8344045956
5万以下,轿车,A00,新能源,五菱,宏光MINI EV,306138.0,2025-08-01,2026-07-01,12.0,38709.96586251673
25-30万,SUV,C,新能源,小米,YU7,259442.0,2025-08-01,2026-07-01,12.0,276023.2416093929
5-10万,轿车,A,其他能源,日产,轩逸,248509.0,2025-08-01,2026-07-01,12.0,69203.17052043047
5-10万,轿车,A,新能源,比亚迪,秦,238588.0,2025-08-01,2026-07-01,12.0,76092.0261979879
5-10万,SUV,A0,新能源,比亚迪,元,206095.0,2025-08-01,2026-07-01,12.0,83560.16695213383
10-15万,SUV,A,新能源,比亚迪,宋,202288.0,2025-08-01,2026-07-01,12.0,113837.48095166267
10-15万,轿车,A,其他能源,大众,速腾,201075.0,2025-08-01,2026-07-01,12.0,109689.81331282541
5-10万,轿车,A,其他能源,大众,朗逸,200258.0,2025-08-01,2026-07-01,12.0,80856.11979793318
5-10万,轿车,A0,新能源,五菱,五菱缤果,186335.0,2025-08-01,2026-07-01,12.0,66259.9389116015
5-10万,轿车,A0,新能源,比亚迪,海鸥,176153.0,2025-08-01,2026-07-01,12.0,66024.73123247325
10-15万,SUV,A,其他能源,吉利,星越,175360.0,2025-08-01,2026-07-01,12.0,136525.17867546587
10-15万,轿车,B,新能源,比亚迪,海豹06,168632.0,2025-08-01,2026-07-01,12.0,116517.84633888688
20-25万,轿车,C,新能源,小米,小米SU7,168239.0,2025-08-01,2026-07-01,11.0,242476.61672365238
5-10万,轿车,A0,新能源,比亚迪,海豚,167786.0,2025-08-01,2026-07-01,12.0,85960.96640812591
20-25万,SUV,C,新能源,方程豹,钛7,167522.0,2025-09-01,2026-07-01,11.0,207593.45884073013
20-25万,轿车,B,新能源,特斯拉,MODEL 3,166670.0,2025-08-01,2026-07-01,12.0,236975.95049661494
15-20万,轿车,B,其他能源,大众,迈腾,165989.0,2025-08-01,2026-07-01,12.0,162992.02714220202
20-25万,SUV,B,新能源,理想,理想i6,165784.0,2025-09-01,2026-07-01,11.0,243081.530102543
15-20万,轿车,B,其他能源,大众,帕萨特,162230.0,2025-08-01,2026-07-01,12.0,160290.32893371626
10-15万,SUV,A,其他能源,吉利,博越,161797.0,2025-08-01,2026-07-01,12.0,102355.30668441672
10-15万,SUV,B,其他能源,大众,探岳,159350.0,2025-08-01,2026-07-01,12.0,144398.7088086276
10-15万,SUV,B,其他能源,奇瑞,瑞虎8,154089.0,2025-08-01,2026-07-01,12.0,106610.81501280579
10-15万,轿车,A,新能源,小鹏,MONA M03,143758.0,2025-08-01,2026-07-01,12.0,126514.97400443976
20-25万,轿车,B,其他能源,宝马,3系,140042.0,2025-08-01,2026-07-01,12.0,240011.65738357708
15-20万,SUV,B,新能源,比亚迪,海狮06,140028.0,2025-08-01,2026-07-01,9.0,155045.56096651897
30-35万,轿车,C,其他能源,奥迪,A6,134679.0,2025-08-01,2026-07-01,12.0,321781.73981811636
5-10万,轿车,A,其他能源,长安,逸动,134342.0,2025-08-01,2026-07-01,12.0,71637.72256653971
5-10万,SUV,A0,其他能源,吉利,缤越,132803.0,2025-08-01,2026-07-01,12.0,67360.32398202039
5-10万,SUV,A,其他能源,丰田,锋兰达,132639.0,2025-08-01,2026-07-01,12.0,91589.81189242062
30-35万,SUV,C,新能源,AITO,问界M7,128848.0,2025-09-01,2026-07-01,11.0,321171.7447667977
10-15万,轿车,B,其他能源,红旗,H5,125714.0,2025-08-01,2026-07-01,12.0,128145.8880386485
10-15万,SUV,B,新能源,零跑,零跑C10,122180.0,2025-08-01,2026-07-01,12.0,128328.36086757455
10-15万,SUV,A,新能源,比亚迪,海狮05,116250.0,2025-08-01,2026-07-01,12.0,120389.60474253584
5-10万,轿车,A,新能源,MG,MG4 EV,114677.0,2025-09-01,2026-07-01,11.0,77604.12041837214
10-15万,SUV,A,其他能源,哈弗,哈弗大狗,112250.0,2025-08-01,2026-07-01,12.0,102549.17105413051
10-15万,SUV,B,新能源,深蓝,S05,111274.0,2025-08-01,2026-07-01,12.0,122502.09420774662
15-20万,SUV,A,其他能源,本田,CR-V,109834.0,2025-08-01,2026-07-01,12.0,155772.79451837766
5-10万,轿车,A,新能源,比亚迪,海豹05,107725.0,2025-08-01,2026-07-01,12.0,73093.44942640903
15-20万,SUV,B,其他能源,别克,昂科威,106535.0,2025-08-01,2026-07-01,12.0,171298.63826573727
25-30万,SUV,B,其他能源,奥迪,Q5,101586.0,2025-08-01,2026-07-01,12.0,272177.3702533984
5万以下,轿车,A00,新能源,吉利银河,熊猫mini,101543.0,2025-08-01,2026-07-01,12.0,40351.403348166525
40-45万,SUV,C,新能源,蔚来,蔚来ES8,99815.0,2025-08-01,2026-04-01,9.0,409774.4145782004
10-15万,轿车,B,新能源,比亚迪,秦,99058.0,2025-08-01,2026-07-01,12.0,111097.55973816056
15-20万,轿车,B,其他能源,丰田,凯美瑞,98317.0,2025-08-01,2026-02-01,7.0,151926.32962144824
5-10万,SUV,A,其他能源,大众,途岳,97532.0,2025-08-01,2026-07-01,12.0,87954.95282707717
5-10万,轿车,A,其他能源,吉利,新帝豪,96876.0,2025-08-01,2026-07-01,12.0,67596.83115792717
10-15万,轿车,B,其他能源,本田,雅阁,93202.0,2025-10-01,2026-07-01,10.0,142645.29655710774
10-15万,SUV,B,新能源,丰田,铂智3X,92164.0,2025-08-01,2026-07-01,12.0,128376.20714628855
10-15万,SUV,B,新能源,比亚迪,海狮06,91806.0,2025-08-01,2026-07-01,12.0,145583.67122191
5万以下,轿车,A00,新能源,启源,Lumin,90850.0,2025-08-01,2026-07-01,12.0,41527.71130473488
