price_bucket,body_type,sales,share_pct
10-15万,SUV,3671366.0,17.586777135042734
5-10万,轿车,3029598.0,14.512545149345282
10-15万,轿车,2455501.0,11.762474469141612
5-10万,SUV,1707385.0,8.17880850852651
15-20万,SUV,1569590.0,7.518735403496062
25-30万,SUV,1217514.0,5.83220179540651
20-25万,SUV,1092207.0,5.231949387321673
15-20万,轿车,978642.0,4.687944146400138
20-25万,轿车,911476.0,4.366201919378294
5万以下,轿车,655717.0,3.141051244321273
30-35万,SUV,634691.0,3.0403313553095517
30-35万,轿车,323251.0,1.5484545250132236
35-40万,SUV,260784.0,1.2492217034163806
25-30万,MPV,230432.0,1.103827901871447
30-35万,MPV,213380.0,1.022144483844819
25-30万,轿车,206452.0,0.9889576013625017
其他,轿车,199829.0,0.9572317464721453
40-45万,SUV,193046.0,0.9247394508778093
其他,SUV,168007.0,0.8047962709593989
50-55万,SUV,119610.0,0.5729623287687639
60万以上,SUV,104621.0,0.5011612055690731
35-40万,轿车,104200.0,0.49914450846672676
5-10万,MPV,95884.0,0.45930875287738604
55-60万,SUV,91120.0,0.4364879809163929
20-25万,MPV,88455.0,0.4237219529407324
45-50万,SUV,87630.0,0.4197699930608375
40-45万,轿车,84090.0,0.40281249248528844
60万以上,轿车,68599.0,0.3286066615768617
其他,MPV,68032.0,0.32589058733213394
10-15万,MPV,67626.0,0.32394574404578563
35-40万,MPV,40663.0,0.19478611466202025
45-50万,MPV,38460.0,0.18423318421910087
15-20万,MPV,25736.0,0.12328198723512168
50-55万,MPV,17370.0,0.08320671892578736
60万以上,MPV,15306.0,0.07331963384445028
5万以下,SUV,13972.0,0.06692943447502021
40-45万,MPV,8188.0,0.03922260302615699
50-55万,轿车,4553.0,0.021810028282620027
60万以上,跑车,3195.0,0.015304862807593014
55-60万,轿车,1995.0,0.009556557527745872
其他,跑车,1476.0,0.007070415494211984
55-60万,MPV,1090.0,0.0052213772958611526
45-50万,跑车,991.0,0.004747142110273764
55-60万,跑车,957.0,0.004584273460678095
50-55万,跑车,830.0,0.003975911151894273
5万以下,MPV,603.0,0.002888523403123188
25-30万,跑车,572.0,0.0027400255167271373
35-40万,跑车,291.0,0.0013939640303629317
30-35万,跑车,253.0,0.0012119343631677723
40-45万,跑车,241.0,0.0011544513103693007
45-50万,轿车,237.0,0.0011352902927698103
5万以下,跑车,4.0,1.916101759949047e-05
