price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
10-15万,MPV,其他能源,42743.0,广汽传祺M6（55.9%）、现代库斯途（38.6%）、瑞风瑞风M4（2.1%）,广汽传祺M6,41307.0,96.64038556020868,广汽传祺M6（55.9%）、现代库斯途（38.6%）、瑞风瑞风M4（2.1%）,96.64038556020868,3,100.0
10-15万,MPV,新能源,24883.0,五菱星光730（88.8%）、东风风行菱智（6.9%）、瑞风瑞风M3（3.6%）,五菱星光730,24706.0,99.28867098018728,五菱星光730（88.8%）、东风风行菱智（6.9%）、瑞风瑞风M3（3.6%）,99.28867098018728,3,100.0
10-15万,SUV,其他能源,1855166.0,吉利星越（9.5%）、吉利博越（8.7%）、大众探岳（8.6%）,吉利星越,496507.0,26.76348100385626,吉利星越（9.5%）、吉利博越（8.7%）、大众探岳（8.6%）,26.76348100385626,3,100.0
10-15万,SUV,新能源,1816200.0,比亚迪宋（11.1%）、零跑零跑C10（6.7%）、比亚迪海狮05（6.4%）,比亚迪宋,440718.0,24.265939874463164,比亚迪宋（11.1%）、零跑零跑C10（6.7%）、比亚迪海狮05（6.4%）,24.265939874463164,3,100.0
10-15万,轿车,其他能源,1196540.0,大众速腾（16.8%）、红旗H5（10.5%）、本田雅阁（7.8%）,大众速腾,419991.0,35.1004563157103,大众速腾（16.8%）、红旗H5（10.5%）、本田雅阁（7.8%）,35.1004563157103,3,100.0
10-15万,轿车,新能源,1258961.0,比亚迪海豹06（13.4%）、小鹏MONA M03（11.4%）、比亚迪秦（10.9%）,比亚迪海豹06,449312.0,35.689111894649635,比亚迪海豹06（13.4%）、小鹏MONA M03（11.4%）、比亚迪秦（10.9%）,35.689111894649635,3,100.0
15-20万,MPV,其他能源,24662.0,广汽传祺E8（45.8%）、广汽传祺M8（31.3%）、本田奥德赛（14.9%）,广汽传祺E8,22694.0,92.02011191306462,广汽传祺E8（45.8%）、广汽传祺M8（31.3%）、荣威iMAX8（2.1%）,79.24742518854919,3,100.0
15-20万,MPV,新能源,1074.0,瑞风瑞风M3（62.8%）、瑞风瑞风M4（21.9%）、迈克萨斯大家7（15.3%）,瑞风瑞风M3,1074.0,100.0,瑞风瑞风M3（62.8%）、瑞风瑞风M4（21.9%）、迈克萨斯大家7（15.3%）,100.0,3,100.0
15-20万,SUV,其他能源,575188.0,本田CR-V（19.1%）、别克昂科威（18.5%）、丰田RAV4荣放（13.8%）,本田CR-V,295477.0,51.370508425071456,本田CR-V（19.1%）、别克昂科威（18.5%）、丰田RAV4荣放（13.8%）,51.370508425071456,3,100.0
15-20万,SUV,新能源,994402.0,比亚迪海狮06（14.1%）、零跑零跑C16（6.2%）、哈弗哈弗猛龙（5.7%）,比亚迪海狮06,258363.0,25.98174581306152,比亚迪海狮06（14.1%）、零跑零跑C16（6.2%）、哈弗哈弗猛龙（5.7%）,25.98174581306152,3,100.0
