price_bucket,body_type,vehicle_level_group,fuel_type_group,brand,model,sales,first_active_month,last_active_month,active_months,weighted_tp
25-30万,SUV,B,新能源,特斯拉,MODEL Y,463948.0,2023-04-01,2024-03-01,12,269638.1682195329
15-20万,SUV,A,新能源,比亚迪,宋,413934.0,2023-04-01,2024-03-01,12,164231.4679159846
10-15万,轿车,A,新能源,比亚迪,秦,356713.0,2023-04-01,2024-03-01,12,121687.13533927326
10-15万,轿车,A,其他能源,大众,速腾,298747.0,2023-04-01,2024-03-01,12,127880.52941387107
5-10万,轿车,A0,新能源,比亚迪,海鸥,286702.0,2023-04-01,2024-03-01,12,78585.03651850553
10-15万,轿车,A0,新能源,比亚迪,海豚,263023.0,2023-04-01,2024-03-01,12,113403.5022972523
5-10万,轿车,A,其他能源,日产,轩逸,248928.0,2023-04-01,2024-03-01,12,80484.59992882359
10-15万,SUV,A,新能源,比亚迪,元,246972.0,2023-04-01,2024-03-01,11,144308.92267326036
10-15万,轿车,A,其他能源,大众,朗逸,244671.0,2023-04-01,2024-03-01,12,110147.90921025087
15-20万,轿车,B,其他能源,大众,帕萨特,209264.0,2023-04-01,2024-03-01,12,179037.65462265047
5万以下,轿车,A00,新能源,五菱,宏光MINI EV,208714.0,2023-04-01,2024-03-01,12,42670.83000373351
15-20万,SUV,A,其他能源,本田,CR-V,206930.0,2023-04-01,2024-03-01,12,177184.54988512918
15-20万,轿车,B,其他能源,丰田,凯美瑞,206420.0,2023-04-01,2024-03-01,12,170796.84243203918
10-15万,SUV,A,其他能源,丰田,锋兰达,202358.0,2023-04-01,2024-03-01,12,115366.22094096095
10-15万,轿车,A,新能源,埃安,AION S,199416.0,2023-04-01,2024-03-01,12,132580.86123227305
10-15万,SUV,A,新能源,埃安,AION Y,197897.0,2023-04-01,2024-03-01,12,128733.22984652333
5-10万,轿车,A0,新能源,五菱,五菱缤果,197024.0,2023-04-01,2024-03-01,12,73874.89257630527
15-20万,轿车,B,其他能源,大众,迈腾,187329.0,2023-04-01,2024-03-01,12,189169.0376215245
35-40万,轿车,C,其他能源,奥迪,A6,186453.0,2023-04-01,2024-03-01,12,367442.47262589325
10-15万,SUV,A,其他能源,长安,CS75,185665.0,2023-04-01,2024-03-01,12,115298.58886751211
10-15万,轿车,A,其他能源,本田,思域,179835.0,2023-04-01,2024-03-01,12,117180.78966960964
15-20万,SUV,A,其他能源,丰田,RAV4荣放,177298.0,2023-04-01,2024-03-01,12,162756.67660160278
10-15万,SUV,A,其他能源,吉利,博越,174570.0,2023-04-01,2024-03-01,12,112421.52278438366
5-10万,轿车,A,其他能源,长安,逸动,161035.0,2023-04-01,2024-03-01,12,73058.42831256692
20-25万,轿车,C,新能源,比亚迪,汉,160709.0,2023-04-01,2024-02-01,11,222370.04797462258
15-20万,轿车,B,其他能源,本田,雅阁,153105.0,2023-04-01,2024-03-01,12,173192.048474748
30-35万,SUV,C,新能源,理想,理想L7,151776.0,2023-04-01,2024-03-01,11,324297.06598112686
10-15万,SUV,A,其他能源,丰田,卡罗拉,149280.0,2023-04-01,2024-03-01,12,111009.53845401226
30-35万,SUV,B,其他能源,奥迪,Q5,145381.0,2023-04-01,2024-03-01,12,336094.33065176976
10-15万,轿车,A,其他能源,吉利,星瑞,144244.0,2023-04-01,2024-03-01,12,113658.64247311967
