品牌,品牌本月销量,品牌上月销量,品牌环比%,品牌变化量(台),车型,车型本月销量,车型上月销量,车型环比%,车型变化量(台),对品牌变化贡献%
特斯拉,27913,52100,-46.4%,-24187,MODEL 3,2124,13953,-84.8%,-11829,-48.9%
,,,,,MODEL Y,21286,30458,-30.1%,-9172,-37.9%
,,,,,MODEL Y L,4437,7689,-42.3%,-3252,-13.4%
,,,,,MODEL X,56,0,—,56,+0.2%
,,,,,MODEL S,10,0,—,10,+0.0%
小鹏,25725,32212,-20.1%,-6487,MONA M03,8590,14865,-42.2%,-6275,-96.7%
,,,,,MONA L03,2521,3,+83933.3%,2518,+38.8%
,,,,,P7+,2802,4256,-34.2%,-1454,-22.4%
,,,,,G6,1054,2013,-47.6%,-959,-14.8%
,,,,,GX,6385,5552,+15.0%,833,+12.8%
,,,,,G7,1358,1862,-27.1%,-504,-7.8%
,,,,,X9,1012,1466,-31.0%,-454,-7.0%
,,,,,P7,1513,1926,-21.4%,-413,-6.4%
,,,,,G9,485,265,+83.0%,220,+3.4%
,,,,,G9L,5,0,—,5,+0.1%
,,,,,P5,0,4,-100.0%,-4,-0.1%
AITO,23585,29572,-20.2%,-5987,问界M6,5799,11510,-49.6%,-5711,-95.4%
,,,,,问界M9,9872,8003,+23.4%,1869,+31.2%
,,,,,问界M8,2874,3897,-26.3%,-1023,-17.1%
,,,,,问界M7,4873,5876,-17.1%,-1003,-16.8%
,,,,,问界M5,167,286,-41.6%,-119,-2.0%
智界,10372,4951,+109.5%,5421,智界V9,9011,3670,+145.5%,5341,+98.5%
,,,,,智界S7,567,323,+75.5%,244,+4.5%
,,,,,智界R7,794,958,-17.1%,-164,-3.0%
猛士,2429,658,+269.1%,1771,猛士M817,2419,638,+279.2%,1781,+100.6%
,,,,,猛士917,5,12,-58.3%,-7,-0.4%
,,,,,猛士M800,5,8,-37.5%,-3,-0.2%
华境,7160,5660,+26.5%,1500,华境S,7160,5660,+26.5%,1500,+100.0%
享界,1572,2821,-44.3%,-1249,享界S9T,998,1980,-49.6%,-982,-78.6%
,,,,,享界S9,574,841,-31.7%,-267,-21.4%
智己,4840,5874,-17.6%,-1034,智己LS8,855,1368,-37.5%,-513,-49.6%
,,,,,智己LS6,2831,3147,-10.0%,-316,-30.6%
,,,,,智己LS9,594,707,-16.0%,-113,-10.9%
,,,,,智己L6,514,574,-10.5%,-60,-5.8%
,,,,,智己LS7,31,63,-50.8%,-32,-3.1%
,,,,,智己L7,15,15,+0.0%,0,+0.0%
阿维塔,3592,4518,-20.5%,-926,阿维塔07,1577,2039,-22.7%,-462,-49.9%
,,,,,阿维塔12,720,971,-25.8%,-251,-27.1%
,,,,,阿维塔06,1216,1413,-13.9%,-197,-21.3%
,,,,,阿维塔11,79,95,-16.8%,-16,-1.7%
启境,775,404,+91.8%,371,启境GT7,775,404,+91.8%,371,+100.0%
尊界,393,578,-32.0%,-185,尊界S800,382,578,-33.9%,-196,-105.9%
,,,,,尊界V800,11,0,—,11,+5.9%
