分组,品牌,报告月销量,上月销量,去年同期销量,环比%,同比%,环比vs行业,同比vs行业,备注
本品 · 智己,智己,4840,5874,6096,-17.6%,-20.6%,fail,fail,多车型共同下滑（智己LS8拖累 49.6% 居首）
一线新能源,小米,31254,34768,30288,-10.1%,+3.2%,run,run,
一线新能源,蔚来,21058,23357,12245,-9.8%,+72.0%,run,run,
一线新能源,理想,30302,31117,31147,-2.6%,-2.7%,run,run,
一线新能源,小鹏,25725,32212,31661,-20.1%,-18.7%,fail,run,MONA M03拖累 96.7%，为下滑主因
一线新能源,极氪,25261,26617,13941,-5.1%,+81.2%,run,run,
一线新能源,特斯拉,27913,52100,41023,-46.4%,-32.0%,fail,fail,多车型共同下滑（MODEL 3拖累 48.9% 居首）
一线新能源,零跑,64409,70361,39748,-8.5%,+62.0%,run,run,
二线新能源,乐道,10890,11683,6567,-6.8%,+65.8%,run,run,
二线新能源,阿维塔,3592,4518,8135,-20.5%,-55.8%,fail,fail,多车型共同下滑（阿维塔07拖累 49.9% 居首）
二线新能源,岚图,10451,11085,11824,-5.7%,-11.6%,run,run,
二线新能源,腾势,15236,15852,9510,-3.9%,+60.2%,run,run,
二线新能源,领克,15265,16986,24215,-10.1%,-37.0%,run,fail,
二线新能源,魏牌,7249,6446,9011,+12.5%,-19.6%,run,run,
华为五界三境,AITO,23585,29572,41495,-20.2%,-43.2%,fail,fail,问界M6拖累 95.4%，为下滑主因
华为五界三境,享界,1572,2821,1981,-44.3%,-20.6%,fail,fail,享界S9T拖累 78.6%，为下滑主因
华为五界三境,智界,10372,4951,4722,+109.5%,+119.7%,run,run,智界V9贡献 +98.5%，为增长主因
华为五界三境,尊界,393,578,384,-32.0%,+2.3%,fail,run,尊界S800拖累 105.9%，为下滑主因
华为五界三境,尚界,10809,10963,0,-1.4%,—,run,,新品牌爬坡
华为五界三境,奕境,,,,—,—,,,数据集无此品牌
华为五界三境,华境,7160,5660,0,+26.5%,—,run,,新品牌爬坡
华为五界三境,启境,775,404,0,+91.8%,—,run,,新品牌爬坡
硬派方盒子,坦克,11778,12102,13422,-2.7%,-12.2%,run,run,
硬派方盒子,iCAR,4239,4786,6404,-11.4%,-33.8%,run,fail,
硬派方盒子,猛士,2429,658,560,+269.1%,+333.8%,run,run,猛士M817贡献 +100.6%，为增长主因
硬派方盒子,捷途,16950,19802,29770,-14.4%,-43.1%,fail,fail,
硬派方盒子,方程豹,29427,27261,13498,+7.9%,+118.0%,run,run,
