品牌,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
212,808,949,860,1127,1168,1064,795,838,746,760,726,696
AITO,39283,41005,44378,51305,60587,38819,16381,16937,23228,34781,29572,23585
GMC,25,0,1,0,1,0,1,1,0,0,0,0
INEOS,8,13,8,9,17,16,4,7,10,14,7,11
JEEP,138,152,119,138,145,240,130,150,133,110,114,313
MG,7606,17099,16967,18060,16466,14066,6610,13585,12611,14452,17333,15149
MINI,2435,2046,1830,1975,1968,1163,712,1782,1755,1454,1474,1251
Polestar,30,22,57,37,72,11,5,14,7,8,19,0
RIVIAN,0,0,0,0,0,0,0,0,0,0,0,2
iCAR,6730,7216,7119,6481,5676,1976,1490,5142,6084,5679,4786,4239
smart,2599,2782,2383,2403,3650,1465,946,1718,1777,2068,1756,1838
一汽,6,5,8,4,0,1,3,2,1,4,3,3
三菱,46,45,46,45,70,94,52,84,35,34,27,13
东南,0,0,0,0,0,1,0,0,0,0,0,0
东风,0,0,0,0,7,1,0,0,0,0,6,2
东风奕派,4969,5010,3640,3100,6479,3939,2549,5418,4097,4212,3818,3073
东风纳米,4334,4073,3532,3499,0,0,0,0,0,0,0,0
东风风光,165,170,135,125,102,67,47,65,50,51,51,44
东风风度,86,76,67,64,92,78,60,39,51,80,74,67
东风风神,6461,8157,6691,5216,7144,4749,3214,3872,4230,4760,4728,3454
东风风行,3004,3747,3173,3142,3324,3569,1684,4572,3248,3886,2077,2001
丰田,131716,141415,127604,116818,135796,131592,87456,112140,98361,106470,129526,102536
乐道,17412,14142,17288,12686,8968,4195,2920,6222,7259,10678,11683,10890
九龙,3,7,3,1,1,0,0,2,1,1,2,3
云度,2,6,8,1,0,1,0,0,2,0,0,0
五十铃,1,1,5,3,8,15,3,24,35,1,9,10
五菱,73073,85754,105124,90745,55055,30183,27621,47622,40722,47821,46313,46304
享界,1866,2366,5458,5690,9377,5006,4637,2903,1875,3189,2821,1572
仰望,413,699,627,667,869,434,228,303,261,287,450,504
众泰,0,1,0,0,0,0,0,0,0,0,0,0
保时捷,3485,3400,2954,3824,4582,2513,1412,2131,2038,2588,2196,1931
