主体,7月订单,6月订单,2026累计至今,环比六月
五菱星光L,25679,7090,33657,+262.2%
缤果家族,18904,18786,138652,+0.6%
全新MG4,12112,14728,76427,-17.8%
途观L家族,11645,12213,90185,-4.7%
帕萨特家族,9606,10529,80345,-8.8%
MG 07,8891,0,8891,+∞
华境S,6553,9044,38049,-27.5%
昂科威Plus,6134,7557,60320,-18.8%
至境E7,5216,5885,24499,-11.4%
尚界Z7,3887,6150,32462,-36.8%
MG 4X,3842,5018,12524,-23.4%
GL8陆尚,3161,4444,24718,-28.9%
智己LS6,2698,3475,20900,-22.4%
大众ID.ERA 9X,2015,2340,15176,-13.9%
荣威新i6,1992,2131,8438,-6.5%
GL8陆尊,1892,2041,16659,-7.3%
奥迪E7X,1871,4330,9545,-56.8%
尚界H5,1758,3014,23770,-41.7%
智己LS8,1089,1400,10323,-22.2%
至境世家,1056,1090,10176,-3.1%
M7 DMH,1041,1135,9381,-8.3%
智己LS9,991,863,9344,+14.8%
至境L7 BEV,532,0,2420,+∞
奥迪E5,482,529,5675,-8.9%
智己L6,0,0,861,—
五菱星光730,0,0,27553,—
全新GL8 ES,0,0,338,—
奥迪A5L,0,0,7817,—
五菱星光560,0,0,31239,—
MG7,0,0,3372,—
凯威德,0,0,163,—
荣威D7 DMH,0,0,1266,—
凯迪拉克XT5,0,0,8474,—
途昂,0,0,1675,—
