group,group_label,metric,n_groups,p,effect_size,group_means,abs_effect
PREMMAKE_DP,Make - Premium/Non-Premium,ACMFT_Index,2,2.1379777800452234e-11,0.187,"{'2.0': 777.97, '1.0': 801.79}",0.187
PREMMAKE_DP,Make - Premium/Non-Premium,AEXT_Index,2,3.363151915167781e-08,0.156,"{'2.0': 816.31, '1.0': 837.48}",0.156
PREMMAKE_DP,Make - Premium/Non-Premium,APEAL_Index,2,6.353321184160831e-08,0.153,"{'2.0': 787.93, '1.0': 805.82}",0.153
PREMMAKE_DP,Make - Premium/Non-Premium,ADRV_Index,2,8.041945685074949e-08,0.152,"{'2.0': 782.45, '1.0': 802.63}",0.152
PREMMAKE_DP,Make - Premium/Non-Premium,ASFTY_Index,2,3.455194782160911e-07,0.146,"{'2.0': 778.3, '1.0': 796.12}",0.146
PREMMAKE_DP,Make - Premium/Non-Premium,AINFO_Index,2,1.797029846991144e-06,0.136,"{'2.0': 776.81, '1.0': 794.95}",0.136
PREMMAKE_DP,Make - Premium/Non-Premium,APERF_Index,2,1.896198824634889e-06,0.136,"{'2.0': 785.31, '1.0': 802.17}",0.136
PREMMAKE_DP,Make - Premium/Non-Premium,AINT_Index,2,6.417250684489802e-06,0.129,"{'2.0': 778.08, '1.0': 796.4}",0.129
PREMMAKE_DP,Make - Premium/Non-Premium,AENT_Index,2,8.664955332214577e-06,0.127,"{'2.0': 780.68, '1.0': 797.92}",0.127
PREMMAKE_DP,Make - Premium/Non-Premium,ASET_Index,2,1.1309752403776921e-05,0.127,"{'2.0': 784.66, '1.0': 800.64}",0.127
PREMMAKE_DP,Make - Premium/Non-Premium,AFUEL_Index,2,0.0005966787142731486,0.098,"{'2.0': 794.67, '1.0': 807.32}",0.098
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,AFUEL_Index,2,0.08662830651455083,0.037,"{'1.0': 794.97, '2.0': 796.78}",0.037
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,APERF_Index,2,0.2401385191601879,0.025,"{'1.0': 788.84, '2.0': 781.62}",0.025
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,AENT_Index,2,0.36647774059866745,0.019,"{'1.0': 784.1, '2.0': 777.33}",0.019
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,ACMFT_Index,2,0.44605255624117884,0.016,"{'1.0': 779.74, '2.0': 779.47}",0.016
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,AINT_Index,2,0.45953567293702274,0.016,"{'1.0': 779.83, '2.0': 778.44}",0.016
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,AEXT_Index,2,0.5081296462162148,0.014,"{'1.0': 819.35, '2.0': 814.59}",0.014
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,ASFTY_Index,2,0.5107927212482318,0.014,"{'1.0': 781.29, '2.0': 775.97}",0.014
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,ADRV_Index,2,0.6814321985138512,0.009,"{'1.0': 785.15, '2.0': 781.22}",0.009
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,AINFO_Index,2,0.7387124032411434,0.007,"{'1.0': 779.11, '2.0': 775.97}",0.007
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,ASET_Index,2,0.8352089903076834,0.004,"{'1.0': 787.11, '2.0': 783.04}",0.004
SUPER_SEGMENT_DP,Super Segment - BEV/PHEV,APEAL_Index,2,0.9897042544432503,0.0,"{'1.0': 790.28, '2.0': 786.91}",0.0
