variable,label,type,n_labels,n_unique,missing,missing_rate
SCR_INFO00_06F,Frequency of Use: Other smartphone mirroring system,categorical,5,3,9935,0.9998
SCR_COMMERCIAL_USE,Proportion of commercial use,numeric,0,17,9890,0.9953
SCR_INFO00_06H,Frequency of Use: Vivo Jovi InCar,categorical,5,6,9666,0.9727
SCR_INFO00_06G,Frequency of Use: HUAWEI HiCar,categorical,5,6,9433,0.9493
AFUEL_D_09_R4,At high speeds (50 miles per hour and higher),multi,2,3,9343,0.9402
AFUEL_D_09_R6,When AC is on,multi,2,3,9343,0.9402
AFUEL_D_09_R10,With a full load (passenger/cargo),multi,2,3,9343,0.9402
AFUEL_D_09_R9,When going over a bump,multi,2,3,9343,0.9402
AFUEL_D_09_R8,On rough pavement/bumpy roads,multi,2,3,9343,0.9402
AFUEL_D_09_R7,On smooth pavement,multi,2,3,9343,0.9402
AFUEL_D_09_R11,With a light load (driver only),multi,2,3,9343,0.9402
AFUEL_D_09_R5,In cold weather,multi,2,3,9343,0.9402
AFUEL_D_09_R97,Other,multi,2,3,9343,0.9402
AFUEL_D_09_R3,At moderate speeds (25 to 49 miles per hour),multi,2,3,9343,0.9402
AFUEL_D_09_R2,At low speeds (less than 25 miles per hour),multi,2,3,9343,0.9402
AFUEL_D_09_R1,Under all driving conditions/at all times,multi,2,3,9343,0.9402
SCR_INFO00_06B,Frequency of Use: Apple CarPlay,categorical,5,6,9304,0.9363
SCR_INFO00_06E,Frequency of Use: Carlife,categorical,5,6,9234,0.9293
AENT_R_04,AENT04: Ease of getting in/out of the third row seats,rating,11,10,9047,0.9104
YPV_02_SERIES,YPV_02_SERIES: Vehicle Replaced - Series,categorical,1021,350,8658,0.8713
YPV_02_MAKE,YPV_02_MAKE: Vehicle Replaced - Make,categorical,100,74,8658,0.8713
SCR_INFO00_04_01_R97,Others,multi,2,3,8123,0.8174
SCR_INFO00_04_01_R4,Carlife,multi,2,3,8123,0.8174
SCR_INFO00_04_01_R2,HUAWEI HiCar,multi,2,3,8123,0.8174
SCR_INFO00_04_01_R1,Apple CarPlay,multi,2,3,8123,0.8174
SCR_INFO00_04_01_R3,Vivo Jovi InCar,multi,2,3,8123,0.8174
KM_AFUEL,Average fuel consumption(L/100km),numeric,0,27,7491,0.7538
YPV_03_MAKE,YPV_03_MAKE: Last Vehicle Acquired - Make,categorical,100,83,7456,0.7503
YPV_03_SERIES,YPV_03_SERIES: Last Vehicle Acquired - Series,categorical,1021,468,7456,0.7503
SCR_INFO00_04,Smartphone mirroring system,categorical,3,4,6973,0.7017
YNV_02,YNV_02: Wireless Phone Manufacturer,categorical,18,19,6954,0.6998
YNV_01,YNV_01: Wireless Phone Service Provider,categorical,4,5,6954,0.6998
SMTPHONE_OPSYSTEM,SMTPHONE_OPSYSTEM: Operating System Connected Smartphone,categorical,4,5,6954,0.6998
SCR_G_6,Turbocharging System,categorical,2,3,6752,0.6795
SCR_G_5,Vehicle Displacement,categorical,39,4,6752,0.6795
ASFTY_D_02,Safety: Love Most,categorical,13,13,5968,0.6006
ASET_D_02,Setting Up/Starting: Love Most: Process of starting vehicle,categorical,12,13,5920,0.5958
ACHAR_D_09_R2,The information is accurate,multi,2,3,5603,0.5639
ACHAR_D_09_R6,Price list is clear,multi,2,3,5603,0.5639
ACHAR_D_09_R97,Other,multi,2,3,5603,0.5639
ACHAR_D_09_R3,Easy to find,multi,2,3,5603,0.5639
ACHAR_D_09_R1,There are many charging piles,multi,2,3,5603,0.5639
ACHAR_D_09_R4,Low service charge,multi,2,3,5603,0.5639
ACHAR_D_08,Which third-party smartphone apps do you most often use to looking for charging stations?,categorical,10,11,5603,0.5639
ACHAR_D_09_R5,Easy to pay,multi,2,3,5603,0.5639
AEXT_D_02,Exterior: Love Most: Exterior styling,categorical,17,18,5428,0.5462
AEXT_D_01,Exterior: Most Improved: Exterior styling,categorical,17,18,4509,0.4538
ASET_D_01,Setting Up/Starting: Most Improved: Process of starting vehicle,categorical,12,13,4017,0.4042
ASFTY_D_01,Safety: Most Improved,categorical,13,14,3969,0.3994
NEV_07,NEV_07: Do you share this parking space with others,categorical,3,4,3932,0.3957
NEV_06_R97,Others,multi,2,3,3932,0.3957
NEV_06_R3,Using wire connected to sockets on the wall,multi,2,3,3932,0.3957
NEV_06_R2,Charging port,multi,2,3,3932,0.3957
NEV_06_R1,Wallbox,multi,2,3,3932,0.3957
ASET_R_01,ASET01: Operating vehicle remotely using a phone/watch/smart home device,rating,11,11,3927,0.3952
SCR_BAT000_01,Battery Capacity,numeric,0,89,3791,0.3815
KB_HWGT_1C,Weight (kilograms),numeric,0,98,3380,0.3401
HEIGHT,Height (centimeters),numeric,71,46,3360,0.3381
ACHAR_D_03,How many minutes does it take to fully charge your vehicle when using fast charge?,numeric,0,111,2202,0.2216
AINFO_R_04,AINFO04: Experience of using navigation in your vehicle,rating,11,11,2185,0.2199
ACHAR_D_01,How many hours does it take to fully charge your vehicle when using normal charge?,numeric,0,33,2103,0.2116
AINFO_D_01D,Infotainment: System Preference: Using navigation,categorical,6,5,1796,0.1807
SCR_INFO00_05,Frequency of use: Built-in navigation system,categorical,5,6,1796,0.1807
NEV_13a,NEV_13a: Average Driving Hours per day,numeric,0,17,1520,0.153
NEV_09_R1,At home,multi,2,3,1489,0.1498
ACHAR_D_04_END,What is the SOC (state of charge) when you usually stop fast charging your vehicle,categorical,11,11,1489,0.1498
ACHAR_D_04_START,What is the SOC (state of charge) when you usually start fast charging your vehicle,categorical,11,12,1489,0.1498
NEV_09_R2,At work,multi,2,3,1489,0.1498
