gen,label,date,当日新增小订,截至当日累计小订,截至当日晚未退
CM0,end-2,2023-10-10,997,22615,16255
CM0,end-1,2023-10-11,2152,24767,18235
CM0,end-0,2023-10-12,6796,31563,24398
CM1,end-2,2024-09-24,1503,19742,15955
CM1,end-1,2024-09-25,2998,22740,18696
CM1,end-0,2024-09-26,4164,26904,21100
CM2,end-2,2025-09-08,2198,36110,29524
CM2,end-1,2025-09-09,8055,44165,37165
CM2,end-0,2025-09-10,15297,59462,49972
LS8,end-2,2026-04-14,652,16220,12730
LS8,end-1,2026-04-15,1213,17433,13814
LS8,end-0,2026-04-16,2788,20221,15360
LS9,end-2,2025-11-10,607,7340,6768
LS9,end-1,2025-11-11,937,8277,7635
LS9,end-0,2025-11-12,1652,9929,8849
