gen,batch,n,touch中位(天),touch均值(天),touch>7天%,touch>30天%,触点早于预售开放%,assign中位(天)
CM2,end-0,15340,19.8,204.9,55.5,43.1,45.6,0.9
CM2,end-1,8061,23.7,210.4,56.2,46.9,48.5,0.9
CM2,end-2+earlier,36117,6.6,144.0,48.4,34.5,48.2,1.0
CM1,end-0,4168,12.5,147.7,51.8,44.4,45.4,0.8
CM1,end-1,3000,1.9,91.4,41.6,32.6,33.4,1.0
CM1,end-2+earlier,19751,3.8,107.9,45.9,35.9,45.6,1.5
CM0,end-0,6804,28.0,131.6,59.6,49.0,41.4,0.9
CM0,end-1,2152,10.5,81.5,52.7,38.5,29.6,1.0
CM0,end-2+earlier,22615,9.1,107.6,51.8,37.6,48.8,0.9
LS8,end-0,2799,20.9,241.1,63.2,45.0,49.3,1.0
LS8,end-1,1228,11.0,172.4,55.2,35.0,39.8,1.8
LS8,end-2+earlier,16236,15.7,214.1,56.9,44.9,64.7,0.9
LS9,end-0,1657,8.8,252.6,56.3,45.3,52.5,0.8
LS9,end-1,945,5.5,204.6,42.0,33.5,42.0,1.4
LS9,end-2+earlier,7341,6.9,286.6,49.5,45.9,73.5,0.9
