品牌,企业名称,产品型号,产品名称,动力形式,电机功率(kW),motor_count,motor_total_peak_kw,single_multi_motor,电池类型,battery_chemistry,battery_chemistry_cn,battery_ncm_explicit_flag,电池容量(kWh),电池质量(kg),纯电续航(km),整备质量(kg),cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,电芯/总成供应商,增程器,长(mm),宽(mm),高(mm),总电量口径近似电耗(kWh/100km),电池包能量密度(Wh/kg),单位电量续航(km/kWh),电池质量占整备质量比(%),tax_catalog_match_flag,battery_metrics_available_flag,missing_reason,metric_scope
理想,北京理想汽车有限公司,LXA6503BEVW05,纯电动多用途乘用车,纯电动,250kW,1,250.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,中创新航科技集团股份有限公司,山东理想汽车电池有限公司,中创新航,其他,cross_group,中创新航科技集团股份有限公司 / 山东理想汽车电池有限公司,,4950,1935,1655,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
理想,北京理想汽车有限公司,LXA6503BEVW06,纯电动多用途乘用车,纯电动,150/250kW,2,400.0,2电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,中创新航科技集团股份有限公司,山东理想汽车电池有限公司,中创新航,其他,cross_group,中创新航科技集团股份有限公司 / 山东理想汽车电池有限公司,,4950,1935,1655,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
理想,北京理想汽车有限公司,LXA6503BEVW04,纯电动多用途乘用车,纯电动,150/250kW,2,400.0,2电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,欣旺达动力科技股份有限公司,山东理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 山东理想汽车电池有限公司,,4950,1935,1655,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
理想,北京理想汽车有限公司,LXA6530REEVX12#1,插电式增程混合动力多用途乘用车,插电式增程混合动力,,0,0.0,,三元锂离子电池,NCM,三元锂,0,72.7,411.0,340.0,2755.0,欣旺达动力科技股份有限公司,江苏理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 江苏理想汽车电池有限公司,L3E15CA / 1498ml / 江苏理想动力科技有限公司,5255,2000,1810,21.4,174.3~179.5,4.68,14.7~15.1,1,1,,全数据
理想,北京理想汽车有限公司,LXA6530REEVX12#2,插电式增程混合动力多用途乘用车,插电式增程混合动力,,0,0.0,,三元锂离子电池,NCM,三元锂,0,72.7,411.0,332.0,2785.0,欣旺达动力科技股份有限公司,江苏理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 江苏理想汽车电池有限公司,L3E15CA / 1498ml / 江苏理想动力科技有限公司,5255,2000,1810,21.9,174.3~179.5,4.57,14.5~15.0,1,1,,全数据
理想,北京理想汽车有限公司,LXA6530REEVX12#3,插电式增程混合动力多用途乘用车,插电式增程混合动力,,0,0.0,,三元锂离子电池,NCM,三元锂,0,72.7,411.0,340.0,2810.0,欣旺达动力科技股份有限公司,江苏理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 江苏理想汽车电池有限公司,L3E15CA / 1498ml / 江苏理想动力科技有限公司,5255,2000,1810,21.4,174.3~179.5,4.68,14.4~14.8,1,1,,全数据
理想,北京理想汽车有限公司,LXA6530REEVX12#4,插电式增程混合动力多用途乘用车,插电式增程混合动力,,0,0.0,,三元锂离子电池,NCM,三元锂,0,72.7,411.0,340.0,2835.0,欣旺达动力科技股份有限公司,江苏理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 江苏理想汽车电池有限公司,L3E15CA / 1498ml / 江苏理想动力科技有限公司,5255,2000,1810,21.4,174.3~179.5,4.68,14.3~14.7,1,1,,全数据
理想,北京理想汽车有限公司,LXA6540BEVW12,纯电动多用途乘用车,纯电动,155/258kW,2,413.0,2电机,三元锂离子动力电池,NCM,三元锂,0,,,,,欣旺达动力科技股份有限公司,山东理想汽车电池有限公司,欣旺达,其他,cross_group,欣旺达动力科技股份有限公司 / 山东理想汽车电池有限公司,,5355,1965,1850,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
极氪,浙江吉利汽车有限公司,MR6521BEV101,纯电动多用途乘用车,纯电动,310/370kW,2,680.0,2电机,三元锂离子电池,NCM,三元锂,0,,,,,时代吉利（四川）动力电池有限公司,时代吉利（四川）动力电池有限公司,其他,其他,same_company,时代吉利（四川）动力电池有限公司 / 时代吉利（四川）动力电池有限公司,,5217,2024,1812,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
极氪,浙江吉利汽车有限公司,MR6481BEV106,纯电动多用途乘用车,纯电动,370kW,1,370.0,单电机,磷酸铁锂锂离子电池,LFP,磷酸铁锂,0,,,,,浙江吉曜通行能源科技有限公司,浙江吉曜通行能源科技有限公司,其他,其他,same_company,浙江吉曜通行能源科技有限公司 / 浙江吉曜通行能源科技有限公司,,4825,1930,1666,,,,,0,0,纯电乘用车不在车船税目录；待对应购置税目录批次发布后补充,待购置税目录（纯电乘用车电池/续航待购置税目录批次补充）
