日期,平台,车型,人群资产,数量,占比
2026-04-30,抖音头条,LS8,本车系A1,101565023,42.73%
2026-04-30,抖音头条,LS8,本车系A2,110806405,46.62%
2026-04-30,抖音头条,LS8,本车系A3,25269442,10.63%
2026-04-30,抖音头条,LS8,本车系A4,60561,0.03%
2026-04-30,抖音头条,LS8,本车系A5,-,-
2026-04-30,抖音头条,LS8,对比品牌A1,52435689,67.77%
2026-04-30,抖音头条,LS8,对比品牌A2,21157600,27.55%
2026-04-30,抖音头条,LS8,对比品牌A3,3566617,4.62%
2026-04-30,抖音头条,LS8,对比品牌A4,31739,0.06%
2026-04-30,抖音头条,LS8,对比品牌A5,-,-
2026-05-25,抖音头条,LS8,本车系A1,57166998,43.11%
2026-05-25,抖音头条,LS8,本车系A2,62782201,47.35%
2026-05-25,抖音头条,LS8,本车系A3,12568157,9.48%
2026-05-25,抖音头条,LS8,本车系A4,82892,0.06%
2026-05-25,抖音头条,LS8,本车系A5,-,-
2026-05-25,抖音头条,LS8,对比品牌A1,38924064,66.67%
2026-05-25,抖音头条,LS8,对比品牌A2,18114467,28.81%
2026-05-25,抖音头条,LS8,对比品牌A3,2660028,4.43%
2026-05-25,抖音头条,LS8,对比品牌A4,32776,0.09%
2026-05-25,抖音头条,LS8,对比品牌A5,-,-
2026-03-31,抖音头条,LS8,本车系A1,89238003,55.81%
2026-03-31,抖音头条,LS8,本车系A2,58633225,36.67%
2026-03-31,抖音头条,LS8,本车系A3,12019632,7.52%
2026-03-31,抖音头条,LS8,本车系A4,15342,0.01%
2026-03-31,抖音头条,LS8,本车系A5,-,-
2026-03-31,抖音头条,LS8,对比品牌A1,43375021,68.42%
2026-03-31,抖音头条,LS8,对比品牌A2,17193515,26.65%
2026-03-31,抖音头条,LS8,对比品牌A3,3553207,4.85%
2026-03-31,抖音头条,LS8,对比品牌A4,36553,0.08%
2026-03-31,抖音头条,LS8,对比品牌A5,-,-
2026-05-25,懂车帝,LS8,本车系A1,5415452,62.10%
2026-05-25,懂车帝,LS8,本车系A2,2575320,29.53%
2026-05-25,懂车帝,LS8,本车系A3,721675,8.28%
2026-05-25,懂车帝,LS8,本车系A4,7736,0.09%
2026-05-25,懂车帝,LS8,本车系A5,86,0.00%
2026-05-25,懂车帝,LS8,对比品牌A1,2485174,52.01%
2026-05-25,懂车帝,LS8,对比品牌A2,1524112,30.07%
2026-05-25,懂车帝,LS8,对比品牌A3,848908,17.58%
2026-05-25,懂车帝,LS8,对比品牌A4,8383,0.22%
2026-05-25,懂车帝,LS8,对比品牌A5,5525,0.14%
